XP/Win7 usage for:  Sun Jun 21 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,113,43,341,150,3.2,3,63,361.6
acs-blb,5,3,10,8,0.6,2,17,3
acs-cntr315,2,1,2,1,0.6,1,36,1.2
acs-gh145,1,1,2,1,0.1,2,3,0.1
acs-gh18b,1,1,1,1,0.1,1,7,0.1
acs-gl1w,13,4,36,25,2.4,2,72,31.2
acs-hss6033,1,1,2,2,0.1,2,1,0.1
acs-manb206,4,2,4,3,0.7,1,40,2.8
acs-may4623,25,25,25,1,0.0,1,1,0
acs-osb10,1,1,1,1,0.4,1,25,0.4
acs-pch264,3,2,7,3,1.5,2,46,4.5
acs-pch440,34,28,169,72,7.5,4,112,255
acs-raza,1,1,1,1,0.1,1,4,0.1
acs-rimac,3,2,10,5,1.5,3,30,4.5
acs-sungod,8,4,29,13,6.0,3,120,48
acs-va228,1,1,1,1,1.1,1,64,1.1
acs-vilb3w,1,1,6,6,3.2,6,32,3.2
acs-york1310,9,4,35,10,4.3,3,85,38.7
