XP/Win7 usage for:  Sun Oct 12 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,303,115,3181,2118,7.4,10,44,2242.2
acs-blb,5,3,43,30,9.8,8,73,49
acs-cntr315,25,24,170,131,4.1,6,40,102.5
acs-cpmc201,1,1,2,2,0.2,2,6,0.2
acs-cpmc204,10,7,23,3,0.3,2,9,3
acs-cpmc205,1,1,2,2,0.2,2,5,0.2
acs-cpmc206,1,1,1,1,0.2,1,12,0.2
acs-cpmc207,1,1,3,2,20.2,3,403,20.2
acs-gh145,1,1,1,1,0.1,1,3,0.1
acs-gh18a,4,3,9,2,1.6,2,48,6.4
acs-gh18b,10,4,43,24,1.2,4,18,12
acs-gl1w,18,18,447,303,21.4,24,53,385.2
acs-hh1155,1,1,2,2,0.0,2,1,0
acs-hss6033,1,1,12,9,0.7,12,3,0.7
acs-manb114,1,1,1,1,0.4,1,26,0.4
acs-manb206,38,26,288,207,7.6,7,65,288.8
acs-may2110,8,6,54,49,7.0,6,70,56
acs-may2130,3,1,4,2,0.1,1,3,0.3
acs-may2306,7,6,109,108,22.1,15,88,154.7
acs-may2326,8,7,102,100,15.3,12,76,122.4
acs-may4623,23,23,165,62,13.7,7,117,315.1
acs-osb10,1,1,3,3,1.4,3,27,1.4
acs-pch240,18,17,218,207,7.2,12,35,129.6
acs-pch264,24,23,361,192,8.8,15,35,211.2
acs-pch440,1,1,1,1,0.6,1,34,0.6
acs-raza,8,5,79,47,3.9,9,26,31.2
acs-rcl,1,1,134,109,13.6,134,6,13.6
acs-rh228,4,1,8,5,0.5,2,14,2
acs-rimac,3,3,96,79,10.1,32,18,30.3
acs-sungod,9,9,457,343,18.8,50,22,169.2
acs-va228,20,20,47,41,2.9,2,86,58
acs-vilb3w,2,2,235,168,14.8,117,7,29.6
acs-york1310,15,13,29,17,2.1,1,124,31.5
acs-york3060,15,15,16,16,2.4,1,142,36
acs-york3070,15,14,16,15,1.6,1,96,24
