XP/Win7 usage for:  Sun Jun 15 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,91,36,269,184,2.9,2,86,263.9
acs-bml,5,3,29,15,8.8,5,106,44
acs-cpmc204,2,1,3,2,0.3,1,17,0.6
acs-gh18a,1,1,1,1,0.1,1,3,0.1
acs-gh18b,2,1,2,2,0.0,1,1,0
acs-glbw,11,4,21,16,1.5,1,92,16.5
acs-hss6033,1,1,4,4,0.5,4,7,0.5
acs-manb114,1,1,1,1,0.5,1,27,0.5
acs-manb206,2,1,4,1,8.3,2,249,16.6
acs-may4623,1,1,1,1,0.5,1,29,0.5
acs-mgh2116,1,1,2,2,0.0,2,1,0
acs-osb10,1,1,2,2,0.2,2,6,0.2
acs-pch240,1,1,1,1,0.4,1,24,0.4
acs-pch264,7,2,14,10,0.5,2,16,3.5
acs-pch440,32,29,106,76,7.6,3,151,243.2
acs-raza,1,1,4,4,4.4,4,65,4.4
acs-rcl,1,1,2,2,0.1,2,3,0.1
acs-rh228,1,1,3,1,2.7,3,53,2.7
acs-rimac,3,2,22,17,2.0,7,17,6
acs-sungod,9,3,31,24,1.5,3,30,13.5
acs-va228,4,2,6,3,1.1,1,64,4.4
acs-vilb3w,1,1,2,2,0.6,2,17,0.6
acs-vilb6e,1,1,2,2,0.2,2,5,0.2
acs-york1310,1,1,5,1,13.0,5,156,13
acs-york3070,1,1,1,1,8.2,1,493,8.2
