XP/Win7 usage for:  Sun Nov  9 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,267,91,2796,1858,5.7,10,34,1521.9
acs-blb,5,4,35,22,8.9,7,76,44.5
acs-cntr315,25,24,180,125,3.8,7,32,95
acs-cpmc201,1,1,2,1,1.6,2,47,1.6
acs-cpmc204,2,1,3,3,0.4,1,25,0.8
acs-cpmc205,1,1,6,2,30.9,6,309,30.9
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,2,1,2,2,0.5,1,32,1
acs-gh18b,10,4,32,20,0.8,3,15,8
acs-gl1w,18,18,383,263,22.3,21,63,401.4
acs-hss6033,1,1,19,8,7.2,19,22,7.2
acs-manb114,12,12,190,122,9.8,15,39,117.6
acs-manb206,38,24,176,135,4.7,4,70,178.6
acs-may2110,1,1,1,1,2.5,1,151,2.5
acs-may2130,7,7,24,24,1.6,3,32,11.2
acs-may4623,24,17,75,38,3.0,3,59,72
acs-osb10,1,1,4,4,0.7,4,9,0.7
acs-pch240,18,18,362,336,11.0,20,32,198
acs-pch264,23,13,246,135,9.0,10,53,207
acs-pch440,4,3,8,7,0.4,2,11,1.6
acs-raza,8,5,80,52,4.6,10,27,36.8
acs-rcl,1,1,114,92,9.2,114,4,9.2
acs-rh228,2,2,3,2,0.9,1,55,1.8
acs-rimac,3,3,77,66,5.7,25,13,17.1
acs-sungod,9,9,413,321,20.9,45,27,188.1
acs-va228,6,2,17,7,2.3,2,67,13.8
acs-vilb3w,2,2,244,183,14.5,122,7,29
acs-vilb4e,2,2,34,23,6.0,17,21,12
acs-york1310,18,14,37,21,1.6,2,48,28.8
acs-york3060,15,7,21,15,0.4,1,26,6
acs-york3070,7,6,7,7,0.4,1,24,2.8
