XP/Win7 usage for:  Sun Jan 25 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,283,110,3274,1914,8.2,11,44,2320.6
acs-blb,5,5,69,44,20.6,13,95,103
acs-cntr315,25,15,196,114,4.8,7,41,120
acs-cpmc204,10,7,44,21,2.1,4,30,21
acs-cpmc207,1,1,1,1,10.0,1,600,10
acs-gh18a,3,2,6,4,0.2,2,5,0.6
acs-gh18b,11,5,42,27,2.2,3,44,24.2
acs-gl1w,18,18,447,262,26.6,24,66,478.8
acs-hss6033,1,1,13,5,10.2,13,47,10.2
acs-manb114,12,12,230,157,8.0,19,25,96
acs-manb206,38,27,348,255,10.2,9,68,387.6
acs-may2110,8,6,42,42,3.9,5,47,31.2
acs-may2130,1,1,5,3,1.4,5,16,1.4
acs-may2306,6,6,63,63,12.6,10,75,75.6
acs-may2326,1,1,1,1,0.2,1,14,0.2
acs-may4623,24,15,132,43,10.2,5,122,244.8
acs-mgh2116,1,1,2,2,0.1,2,1,0.1
acs-osb10,1,1,2,2,0.2,2,5,0.2
acs-pch240,3,3,4,2,2.5,1,147,7.5
acs-pch264,24,14,307,175,11.1,12,55,266.4
acs-pch440,3,2,4,3,1.4,1,86,4.2
acs-raza,8,7,126,77,4.7,15,18,37.6
acs-rcl,1,1,179,138,16.1,179,5,16.1
acs-rh228,3,2,14,8,1.4,4,20,4.2
acs-rimac,3,3,129,100,16.6,43,23,49.8
acs-sungod,9,9,471,343,24.9,52,28,224.1
acs-va228,19,19,101,86,5.2,5,63,98.8
acs-vilb3w,2,2,172,134,9.2,86,6,18.4
acs-vilb4e,2,2,57,44,8.3,28,17,16.6
acs-york1310,2,1,3,2,1.0,1,59,2
acs-york3060,12,9,13,13,0.7,1,40,8.4
acs-york3070,26,24,51,50,2.0,1,118,52
