XP/Win7 usage for:  Sun Apr 19 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-MAC,280,101,3092,1867,7.6,11,41,2128
acs-blb,5,4,52,33,11.7,10,70,58.5
acs-cntr315,25,11,174,101,4.8,6,48,120
acs-cpmc201,1,1,1,1,10.0,1,600,10
acs-cpmc204,7,3,31,16,2.5,4,36,17.5
acs-cpmc205,1,1,3,2,21.1,3,421,21.1
acs-cpmc207,1,0,0,0,0.0,0,0,0
acs-gh145,1,1,9,4,6.2,9,41,6.2
acs-gh18b,9,6,37,27,3.0,4,44,27
acs-gl1w,18,17,400,240,23.5,22,64,423
acs-hss6033,1,1,5,4,0.3,5,3,0.3
acs-manb114,12,12,287,143,19.9,23,51,238.8
acs-manb206,37,30,273,177,6.2,7,52,229.4
acs-may2110,8,7,84,81,8.2,10,49,65.6
acs-may2130,7,7,85,81,9.5,12,47,66.5
acs-may2306,7,6,44,43,8.7,6,86,60.9
acs-may2326,1,1,2,1,0.2,2,6,0.2
acs-may4623,10,5,27,15,1.9,2,55,19
acs-mgh2116,1,1,2,2,0.0,2,1,0
acs-osb10,1,1,1,1,0.6,1,34,0.6
acs-pch240,2,2,6,2,1.5,3,30,3
acs-pch264,24,11,324,189,9.9,13,45,237.6
acs-pch440,2,2,6,2,4.1,3,82,8.2
acs-raza,8,7,107,66,5.8,13,26,46.4
acs-rcl,1,1,181,153,13.7,181,4,13.7
acs-rh228,3,2,8,3,1.7,2,51,5.1
acs-rimac,3,3,121,93,13.1,40,19,39.3
acs-sungod,9,9,406,317,22.2,45,29,199.8
acs-va228,15,10,50,31,3.1,3,62,46.5
acs-vilb3w,2,2,145,119,5.8,72,4,11.6
acs-vilb4e,2,2,79,57,5.8,39,8,11.6
acs-york1310,22,22,42,26,5.3,1,316,116.6
acs-york3060,8,4,16,12,2.1,2,63,16.8
acs-york3070,26,17,84,69,2.8,3,56,72.8
