XP/Win7 usage for:  Sun Jun 22 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,33,7,351,162,3.5,10,20,115.5
ALL-XP,558,83,2411,1032,2.2,4,32,1227.6
acms-ga,33,7,351,162,3.5,10,20,115.5
acs-apm3432,7,2,10,5,0.2,1,12,1.4
acs-b325,9,3,12,9,0.4,1,21,3.6
acs-b349,9,2,21,16,0.4,2,13,3.6
acs-b432,3,2,3,3,0.2,1,12,0.6
acs-bml,61,20,283,154,6.8,4,101,414.8
acs-bmlgl,4,3,32,18,8.6,8,64,34.4
acs-ccc,2,1,2,1,0.1,1,3,0.2
acs-csb115,30,29,50,4,0.6,1,38,18
acs-cseb220,2,1,2,2,0.1,1,6,0.2
acs-cseb250,8,2,9,8,0.9,1,51,7.2
acs-cseb260,41,41,45,2,0.4,1,21,16.4
acs-cseb270,4,2,5,3,4.5,1,271,18
acs-ebu2-127,2,2,4,3,2.7,2,81,5.4
acs-ebu2-203,12,4,21,10,1.6,1,93,19.2
acs-ebu2-333,1,1,1,1,3.2,1,193,3.2
acs-ebu3a161,6,2,13,6,2.2,2,65,13.2
acs-econ-rdp,4,1,38,3,0.0,9,0,0
acs-econ200,13,10,62,27,16.8,4,251,218.4
acs-econ304,1,1,2,2,0.1,2,4,0.1
acs-erc117,7,3,16,11,2.8,2,85,19.6
acs-gl1e,53,9,159,84,2.3,3,45,121.9
acs-gl1w,53,19,315,136,5.6,5,67,296.8
acs-glb,15,5,37,29,1.5,2,43,22.5
acs-glbsw,14,2,24,14,1.1,1,65,15.4
acs-glbw,30,6,64,26,2.7,2,82,81
acs-hss6033,1,1,12,4,2.4,12,12,2.4
acs-irps,7,2,21,14,0.7,3,13,4.9
acs-may2722,1,1,1,1,0.2,1,13,0.2
acs-may3544,1,1,1,1,0.7,1,42,0.7
acs-mgh2116,1,1,1,1,0.0,1,2,0
acs-moms,1,1,8,5,0.3,8,2,0.3
acs-nsb1303a,2,2,2,1,0.0,1,1,0
acs-nsb1313a,5,4,6,1,0.2,1,10,1
acs-nsb2303,25,23,101,43,3.2,4,48,80
acs-nsb2311,1,1,2,2,0.2,2,5,0.2
acs-nsb2319,2,1,2,2,0.0,1,1,0
acs-osb10,1,1,1,1,0.1,1,3,0.1
acs-pch104,6,3,28,12,2.6,4,39,15.6
acs-pfbh108,1,1,1,1,1.3,1,77,1.3
acs-rimac,2,2,7,7,3.9,3,78,7.8
acs-sme143,10,3,28,12,1.4,2,42,14
acs-ssb139,4,2,13,7,1.4,3,27,5.6
acs-sungod,9,5,97,55,4.5,10,27,40.5
acs-treetop,13,5,52,30,2.3,4,33,29.9
acs-triton,27,16,417,263,3.6,15,14,97.2
acs-va231,2,2,5,3,4.1,2,122,8.2
acs-vilb3w,1,1,1,1,0.1,1,3,0.1
acs-vilb6e,2,1,5,5,0.2,2,5,0.4
acs-wlh2212,1,1,1,1,2.2,1,130,2.2
acs-wlh2213a,1,1,1,1,0.6,1,38,0.6
acs-wlh2214,1,1,1,1,0.5,1,31,0.5
acs-yh1146,1,1,2,1,0.0,2,0,0
acs-yh1150,1,1,6,3,0.1,6,1,0.1
acs-yh2410,1,1,1,1,0.7,1,42,0.7
acs-yh3020,2,1,2,2,0.0,1,1,0
acs-yh3136,1,1,4,2,0.7,4,10,0.7
