XP/Win7 usage for:  Sun Oct 19 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,139,120,5508,1722,26.9,39,41,3739.1
ALL-XP,1084,526,26983,8633,14.1,24,35,15284.4
acms-ga,139,120,5508,1722,26.9,39,41,3739.1
acs-apm3402,23,19,29,25,1.4,1,85,32.2
acs-apm3432,41,19,400,237,3.8,9,25,155.8
acs-b349,28,28,693,358,20.2,24,50,565.6
acs-bh1309,1,1,1,1,0.0,1,1,0
acs-bh1329,1,1,1,1,0.1,1,7,0.1
acs-bh1413,1,1,3,3,0.2,3,5,0.2
acs-bh1449,1,1,1,1,0.5,1,29,0.5
acs-ccc,3,3,82,53,4.7,27,10,14.1
acs-csb115,30,25,285,143,7.8,9,51,234
acs-cseb220,21,8,79,62,3.3,3,65,69.3
acs-cseb250,1,1,15,12,4.8,15,19,4.8
acs-ebu2-127,1,1,2,2,0.9,2,26,0.9
acs-ebu2-203,33,30,586,291,11.3,17,39,372.9
acs-ebu2-205,26,17,284,182,14.0,10,84,364
acs-ebu2-239,32,20,410,208,9.5,12,47,304
acs-ebu2-315,6,6,120,60,5.8,20,17,34.8
acs-ebu2-330,16,15,119,96,12.5,7,106,200
acs-ebu2-333,2,2,3,3,0.8,1,49,1.6
acs-ebu2-335,13,13,75,69,10.9,5,130,141.7
acs-ebu2-b035,1,1,1,1,0.0,1,2,0
acs-ebu3a108,6,5,20,16,3.2,3,64,19.2
acs-ebu3a161,27,13,206,113,5.1,7,43,137.7
acs-econ100,20,9,278,141,7.3,13,33,146
acs-econ304,19,13,176,57,11.0,9,73,209
acs-erc117,29,29,875,497,13.9,30,27,403.1
acs-gl1al,25,23,843,483,27.8,33,50,695
acs-gl1t,40,40,1460,803,23.2,36,38,928
acs-gl2w,54,51,2859,1560,26.3,52,30,1420.2
acs-glbw,53,47,2384,938,23.0,44,31,1219
acs-hh1155,1,1,3,3,0.6,3,12,0.6
acs-hss6033,2,2,41,20,3.2,20,9,6.4
acs-irps,10,9,395,141,7.8,39,12,78
acs-may2544,15,14,186,148,17.4,12,86,261
acs-may2722,6,6,60,41,3.3,10,19,19.8
acs-may3543,1,1,10,3,1.6,10,9,1.6
acs-may3544,7,7,28,13,7.5,4,112,52.5
acs-may3574,5,3,9,4,6.0,1,357,30
acs-moms,3,3,285,183,5.6,95,3,16.8
acs-nsb1103a,2,2,3,2,1.2,1,69,2.4
acs-nsb1111,1,1,2,1,0.3,2,9,0.3
acs-nsb1313a,4,4,11,1,15.9,2,478,63.6
acs-nsb2303,34,11,187,80,3.4,5,40,115.6
acs-nsb2311,4,3,12,9,0.8,3,15,3.2
acs-nsb2319,3,2,6,6,1.4,2,40,4.2
acs-pch104,8,6,193,78,3.0,24,7,24
acs-rcl,1,1,186,145,10.3,186,3,10.3
acs-rh228,1,1,5,2,5.6,5,67,5.6
acs-rimac,3,3,156,125,17.6,52,20,52.8
acs-seq142,26,24,195,129,4.2,7,36,109.2
acs-sme143,45,44,1510,375,27.9,33,50,1255.5
acs-sungod,9,9,674,451,27.7,74,22,249.3
acs-treetop,13,13,611,373,25.8,47,32,335.4
acs-triton,28,25,2634,1521,25.3,94,16,708.4
acs-usrsrvs,1,1,3,3,1.4,3,27,1.4
acs-va228,5,5,15,13,3.5,3,69,17.5
acs-va231,2,2,13,6,10.6,6,106,21.2
acs-vilb3w,2,2,396,277,15.3,198,4,30.6
acs-wlh2211,16,16,232,127,17.4,14,74,278.4
acs-wlh2212,20,19,199,90,14.1,9,94,282
acs-wlh2213a,15,15,331,150,29.1,22,79,436.5
acs-wlh2214,5,5,72,44,15.1,14,64,75.5
acs-wlh2215,15,15,121,76,9.9,8,74,148.5
acs-wlh2216,5,5,12,6,0.4,2,11,2
acs-wlh2217a,10,8,89,34,10.8,8,81,108
acs-wlh2217c,5,4,44,25,6.3,8,47,31.5
acs-yh1146,1,1,1,1,10.0,1,600,10
acs-yh1150,1,1,2,2,0.3,2,9,0.3
acs-yh1322,3,3,4,2,10.9,1,651,32.7
acs-yh1344,7,5,8,2,9.1,1,544,63.7
acs-yh2310,1,1,3,2,9.7,3,193,9.7
acs-yh2332,1,1,5,2,16.2,5,194,16.2
acs-yh2410,7,7,70,33,16.2,10,96,113.4
acs-yh2432,7,7,80,34,24.9,11,135,174.3
acs-yh3020,16,7,38,19,3.3,2,99,52.8
acs-yh3136,1,1,13,6,8.9,13,41,8.9
acs-yh4124,13,11,32,20,2.6,2,77,33.8
