XP/Win7 usage for:  Sun Dec 14 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,108,87,1927,672,13.5,17,47,1458
ALL-XP,967,401,14681,5486,12.8,15,51,12377.6
acms-ga,108,87,1927,672,13.5,17,47,1458
acs-apm3402,4,2,4,4,0.2,1,14,0.8
acs-apm3432,37,15,147,87,2.8,3,56,103.6
acs-b349,25,20,287,159,18.3,11,99,457.5
acs-bh1309,1,1,1,1,0.7,1,39,0.7
acs-ccc,3,2,43,26,2.1,14,9,6.3
acs-csb115,30,17,157,90,8.6,5,102,258
acs-cseb220,28,27,105,46,2.2,3,44,61.6
acs-cseb250,1,1,1,1,0.0,1,1,0
acs-ebu2-121,2,1,2,2,0.0,1,0,0
acs-ebu2-127,2,2,21,2,0.3,10,1,0.6
acs-ebu2-131,2,2,14,1,0.3,7,2,0.6
acs-ebu2-203,31,18,231,124,11.9,7,101,368.9
acs-ebu2-205,24,10,132,61,10.8,5,129,259.2
acs-ebu2-239,31,8,115,67,5.1,3,101,158.1
acs-ebu2-311,6,6,54,3,0.6,9,3,3.6
acs-ebu2-312,1,1,9,3,0.7,9,4,0.7
acs-ebu2-315,4,2,5,4,0.2,1,14,0.8
acs-ebu2-328,2,2,15,1,0.3,7,2,0.6
acs-ebu2-330,4,2,5,4,1.1,1,67,4.4
acs-ebu2-333,2,1,3,3,0.5,1,31,1
acs-ebu2-335,4,1,55,6,0.9,13,4,3.6
acs-ebu2-339,2,2,18,3,0.4,9,2,0.8
acs-ebu2-b035,2,2,15,1,0.2,7,1,0.4
acs-ebu3a108,1,1,1,1,0.1,1,5,0.1
acs-ebu3a161,23,11,81,51,6.1,3,122,140.3
acs-econ100,20,13,222,114,13.9,11,75,278
acs-econ304,19,12,161,40,8.1,8,60,153.9
acs-erc117,29,18,444,233,10.6,15,42,307.4
acs-gl1al,25,22,620,345,29.6,24,73,740
acs-gl1t,46,42,1099,578,24.2,23,63,1113.2
acs-gl1w,4,2,8,2,0.0,2,0,0
acs-gl2w,55,49,1942,1042,33.2,35,56,1826
acs-glbw,54,51,1407,581,31.2,26,71,1684.8
acs-hh1155,1,1,1,1,0.1,1,8,0.1
acs-hss6033,2,2,31,18,3.6,15,14,7.2
acs-irps,10,9,218,104,12.2,21,34,122
acs-may3543,1,1,3,2,0.3,3,6,0.3
acs-may3544,6,3,18,9,2.0,3,41,12
acs-may3574,5,2,10,6,0.1,2,3,0.5
acs-moms,3,3,183,117,3.2,61,3,9.6
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1303a,1,1,1,1,3.4,1,205,3.4
acs-nsb2303,40,24,96,59,3.9,2,115,156
acs-nsb2311,1,1,1,1,10.0,1,600,10
acs-nsb2319,1,1,1,1,10.0,1,600,10
acs-osb10,1,1,6,5,0.3,6,3,0.3
acs-pch104,8,7,109,49,3.3,13,15,26.4
acs-rcl,1,1,149,91,7.8,149,3,7.8
acs-rh228,1,1,5,3,1.2,5,14,1.2
acs-rimac,3,3,137,98,19.7,45,26,59.1
acs-seq142,24,17,277,136,14.5,11,79,348
acs-sme143,49,46,746,254,22.8,15,91,1117.2
acs-sungod,9,8,373,259,20.3,41,29,182.7
acs-treetop,13,13,346,219,22.8,26,52,296.4
acs-triton,27,26,1729,1035,22.2,64,20,599.4
acs-usrsrvs,1,1,4,3,0.1,4,1,0.1
acs-va228,1,1,1,1,1.2,1,70,1.2
acs-va231,2,1,4,3,1.5,2,46,3
acs-vilb3w,2,2,344,218,13.2,172,4,26.4
acs-vilb4e,4,4,131,81,3.7,32,6,14.8
acs-wlh2211,15,12,52,24,9.1,3,181,136.5
acs-wlh2212,19,8,55,24,3.0,2,89,57
acs-wlh2213a,15,14,90,49,8.5,6,84,127.5
acs-wlh2214,5,5,45,20,11.4,9,75,57
acs-wlh2215,8,6,9,3,0.1,1,5,0.8
acs-wlh2216,4,2,10,8,1.7,2,51,6.8
acs-wlh2217a,9,4,37,15,3.1,4,45,27.9
acs-wlh2217c,3,2,19,11,5.2,6,52,15.6
acs-yh1146,3,1,3,3,6.8,1,405,20.4
acs-yh1150,1,1,2,1,0.7,2,19,0.7
acs-yh1322,2,1,6,2,0.0,3,0,0
acs-yh1344,5,2,9,2,0.0,1,2,0
acs-yh2410,5,3,11,6,5.1,2,152,25.5
acs-yh2432,4,2,12,6,8.7,3,173,34.8
acs-yh3020,13,5,31,19,3.8,2,114,49.4
acs-yh3136,1,1,7,3,0.9,7,7,0.9
acs-yh4124,5,2,7,5,0.1,1,8,0.5
