XP/Win7 usage for:  Sun Jul  5 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,37,25,1146,368,18.7,30,37,691.9
ALL-XP,677,163,6931,2056,4.2,10,25,2843.4
acms-ga,36,25,1145,367,19.2,31,37,691.2
acms-mae,1,1,1,1,0.4,1,22,0.4
acs-apm3402,11,6,24,11,9.7,2,291,106.7
acs-b349,27,14,199,81,5.8,7,49,156.6
acs-bh1329,1,1,1,1,0.1,1,4,0.1
acs-ccc,3,1,9,8,0.2,3,4,0.6
acs-ebu2-203,28,11,106,42,3.1,3,62,86.8
acs-ebu2-205,24,12,79,38,1.9,3,37,45.6
acs-ebu2-239,32,26,399,39,5.8,12,28,185.6
acs-ebu2-311,2,1,3,1,0.8,1,46,1.6
acs-ebu2-312,1,1,4,2,10.0,4,149,10
acs-ebu2-315,5,5,18,7,1.3,3,25,6.5
acs-ebu2-339,1,1,1,1,1.1,1,68,1.1
acs-ebu3a108,10,9,30,13,3.6,3,71,36
acs-ebu3a161,28,21,184,28,5.4,6,53,151.2
acs-econ100,17,17,19,17,0.9,1,55,15.3
acs-econ304,19,13,130,20,3.5,6,35,66.5
acs-erc117,29,10,241,41,0.3,8,2,8.7
acs-gl1al,22,10,189,94,5.3,8,39,116.6
acs-gl1t,45,13,273,114,2.2,6,21,99
acs-gl1w,47,11,170,96,3.4,3,68,159.8
acs-gl2w,56,35,1057,499,11.4,18,37,638.4
acs-hh1155,1,1,3,1,0.0,3,0,0
acs-irps,6,4,16,13,0.8,2,23,4.8
acs-may2544,1,1,1,1,0.0,1,1,0
acs-may2722,6,5,42,27,0.4,7,3,2.4
acs-may3543,1,1,1,1,0.1,1,3,0.1
acs-may3544,1,1,4,3,3.1,4,46,3.1
acs-may3574,1,1,1,1,0.0,1,1,0
acs-nsb1303a,1,1,2,2,0.0,2,0,0
acs-nsb1313a,5,5,7,2,10.1,1,603,50.5
acs-nsb2311,3,2,4,2,6.7,1,403,20.1
acs-osb10,1,1,7,3,0.4,7,3,0.4
acs-pch104,8,3,50,25,0.2,6,2,1.6
acs-rh228,1,0,1,1,0.0,1,0,0
acs-rimac,3,2,45,32,0.9,15,3,2.7
acs-seq142,24,12,128,62,3.9,5,47,93.6
acs-sme143,50,36,388,104,6.4,7,54,320
acs-sungod,9,8,172,113,7.6,19,24,68.4
acs-treetop,11,4,121,51,0.1,11,0,1.1
acs-triton,27,20,1535,551,2.4,56,2,64.8
acs-usrsrvs,1,1,6,4,0.0,6,0,0
acs-va231,1,1,3,1,1.9,3,38,1.9
acs-vilb4e,2,1,2,2,0.1,1,3,0.2
acs-wlh2211,1,1,1,1,0.3,1,21,0.3
acs-wlh2212,15,7,38,14,1.8,2,55,27
acs-wlh2215,5,4,5,5,1.3,1,76,6.5
acs-wlh2217a,7,3,10,8,1.3,1,79,9.1
acs-yh1146,1,1,1,1,10.0,1,600,10
acs-yh1322,1,1,1,1,10.0,1,600,10
acs-yh3020,21,21,23,20,1.6,1,97,33.6
acs-yh3136,1,1,14,5,0.6,14,2,0.6
acs-yh4124,16,2,17,2,0.0,1,0,0
