XP/Win7 usage for:  Sun Apr 26 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,120,98,4585,1829,24.8,38,39,2976
ALL-XP,1104,475,24581,8515,12.4,22,33,13689.6
acms-ga,119,98,4584,1828,25.0,38,39,2975
acms-mae,1,1,1,1,0.0,1,0,0
acms-osd,3,1,6,2,0.1,2,1,0.3
acs-apm3402,26,16,103,71,2.8,3,56,72.8
acs-apm3432,41,16,531,361,2.8,12,13,114.8
acs-b349,28,26,600,376,18.6,21,53,520.8
acs-bh1449,1,1,2,2,6.6,2,198,6.6
acs-ccc,3,2,74,47,0.0,24,0,0
acs-courtrm,7,7,215,105,10.3,30,20,72.1
acs-csb115,30,28,147,104,3.7,4,55,111
acs-cseb220,30,16,256,35,11.3,8,84,339
acs-ebu2-127,2,2,25,13,13.5,12,67,27
acs-ebu2-131,2,2,2,2,1.2,1,73,2.4
acs-ebu2-203,32,31,728,339,27.5,22,74,880
acs-ebu2-205,24,12,379,237,3.8,15,15,91.2
acs-ebu2-239,30,25,617,316,16.4,20,49,492
acs-ebu2-311,5,3,41,25,6.2,8,46,31
acs-ebu2-312,1,1,14,5,10.9,14,46,10.9
acs-ebu2-315,6,5,56,35,4.6,9,30,27.6
acs-ebu2-328,1,1,6,4,36.0,6,359,36
acs-ebu2-330,16,15,131,120,12.0,8,90,192
acs-ebu2-333,3,3,27,16,8.8,9,58,26.4
acs-ebu2-335,13,13,125,111,16.7,9,111,217.1
acs-ebu2-339,2,2,17,9,19.1,8,143,38.2
acs-ebu2-b035,2,2,25,10,35.7,12,178,71.4
acs-ebu3a108,10,8,84,52,7.6,8,57,76
acs-ebu3a161,25,18,245,107,3.6,9,24,90
acs-econ100,19,9,296,173,6.3,15,25,119.7
acs-econ304,15,11,198,54,21.9,13,101,328.5
acs-erc117,30,29,1019,445,12.3,33,22,369
acs-gl1al,25,18,674,372,15.8,26,36,395
acs-gl1t,46,31,1210,608,9.2,26,21,423.2
acs-gl1w,54,47,1302,687,25.0,24,62,1350
acs-gl2w,55,47,2480,1279,25.7,45,34,1413.5
acs-hss6033,2,2,25,14,4.7,12,23,9.4
acs-irps,10,9,187,87,3.3,18,10,33
acs-may2544,13,6,42,34,2.0,3,40,26
acs-may2722,6,6,136,103,5.1,22,14,30.6
acs-may3229,1,1,3,2,3.2,3,64,3.2
acs-may3543,1,1,8,4,10.2,8,76,10.2
acs-may3544,7,6,44,26,15.3,6,152,107.1
acs-may3574,9,8,58,29,17.9,6,179,161.1
acs-moms,3,2,443,279,0.0,147,0,0
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,3,2,6,4,13.3,2,400,39.9
acs-nsb2303,35,14,170,81,3.9,4,58,136.5
acs-nsb2311,1,1,2,2,0.7,2,20,0.7
acs-nsb2319,1,1,1,1,2.5,1,153,2.5
acs-osb10,1,1,10,4,1.1,10,6,1.1
acs-pch104,8,4,147,65,0.0,18,0,0
acs-rcl,1,1,207,162,0.0,207,0,0
acs-rh228,1,1,2,2,0.0,2,0,0
acs-rimac,3,3,163,120,14.9,54,16,44.7
acs-seq142,26,22,438,220,5.2,16,19,135.2
acs-sme143,49,40,1109,354,23.8,22,64,1166.2
acs-sungod,9,9,563,366,28.3,62,27,254.7
acs-treetop,13,13,827,352,19.3,63,18,250.9
acs-triton,28,27,2342,1297,21.3,83,15,596.4
acs-usrsrvs,1,1,8,7,0.1,8,0,0.1
acs-va228,4,2,13,7,0.1,3,1,0.4
acs-va231,2,2,7,3,18.1,3,362,36.2
acs-vilb3w,1,1,135,117,5.7,135,2,5.7
acs-vilb4e,4,4,270,154,6.1,67,5,24.4
acs-wlh2211,14,14,152,97,14.5,10,86,203
acs-wlh2212,20,12,67,30,6.8,3,135,136
acs-wlh2213a,14,12,40,36,2.8,2,82,39.2
acs-wlh2214,5,5,140,91,17.3,28,37,86.5
acs-wlh2215,15,15,84,76,6.8,5,81,102
acs-wlh2216,5,5,31,20,9.2,6,92,46
acs-wlh2217a,9,6,35,14,8.2,3,163,73.8
acs-wlh2217c,5,5,76,66,24.5,15,97,122.5
acs-yh1146,5,3,14,7,11.5,2,344,57.5
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh1322,3,3,5,2,7.3,1,439,21.9
acs-yh1344,5,4,7,1,9.1,1,544,45.5
acs-yh2310,1,1,12,6,24.8,12,123,24.8
acs-yh2332,1,1,11,5,24.5,11,133,24.5
acs-yh2410,7,7,109,48,32.8,15,131,229.6
acs-yh2432,7,7,102,37,31.9,14,136,223.3
acs-yh3020,21,9,72,37,4.9,3,98,102.9
acs-yh3136,1,1,17,10,3.0,17,10,3
acs-yh4124,14,13,19,18,2.8,1,167,39.2
