XP/Win7 usage for:  Sun Jun 29 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,57,20,760,317,5.2,13,23,296.4
ALL-XP,896,211,6705,2615,3.6,7,30,3225.6
acms-ga,56,20,759,316,5.3,13,24,296.8
acms-mae,1,1,1,1,1.3,1,77,1.3
acs-apm3402,14,11,23,12,1.6,1,93,22.4
acs-apm3432,8,2,11,6,0.5,1,28,4
acs-b325,21,10,161,117,3.9,7,33,81.9
acs-b349,25,12,164,98,3.6,6,35,90
acs-b432,40,34,269,151,2.9,6,28,116
acs-bh1309,1,1,2,2,0.0,2,1,0
acs-bml,63,31,404,215,9.1,6,90,573.3
acs-bmlgl,4,3,42,29,14.9,10,89,59.6
acs-ccc,2,2,16,10,0.6,8,4,1.2
acs-csb115,29,25,63,31,0.7,2,20,20.3
acs-cseb220,14,4,26,12,1.5,1,91,21
acs-cseb250,35,23,164,84,3.7,4,55,129.5
acs-cseb260,18,7,37,26,2.1,2,61,37.8
acs-cseb270,31,20,41,28,2.0,1,122,62
acs-ebu2-127,2,2,2,2,1.0,1,59,2
acs-ebu2-203,23,7,51,33,2.0,2,61,46
acs-ebu2-205,2,2,6,3,0.1,3,1,0.2
acs-ebu2-239,31,23,35,5,0.1,1,3,3.1
acs-ebu2-315,1,1,1,1,0.1,1,3,0.1
acs-ebu2-333,1,1,1,1,2.7,1,162,2.7
acs-ebu3a161,9,2,17,8,1.3,1,79,11.7
acs-econ-rdp,4,0,12,3,0.0,3,0,0
acs-econ100,1,1,2,2,0.1,2,4,0.1
acs-econ200,11,7,67,28,9.6,6,96,105.6
acs-erc117,15,4,53,32,1.4,3,27,21
acs-gl1e,80,32,856,440,7.1,10,42,568
acs-gl1w,58,37,1004,472,10.3,17,36,597.4
acs-gl2095,7,4,19,15,2.7,2,80,18.9
acs-glb,47,16,214,113,1.6,4,24,75.2
acs-glbsw,24,12,137,73,4.8,5,57,115.2
acs-glbw,49,11,241,106,2.1,4,31,102.9
acs-hss6033,2,1,16,7,1.7,8,12,3.4
acs-irps,10,10,35,19,1.8,3,35,18
acs-may2722,4,4,41,17,0.7,10,4,2.8
acs-may3544,1,1,1,1,5.2,1,313,5.2
acs-nsb1313a,5,5,7,2,10.5,1,632,52.5
acs-nsb2303,25,22,132,58,3.5,5,41,87.5
acs-nsb2311,3,1,18,5,0.8,6,7,2.4
acs-nsb2319,2,1,3,2,15.0,1,900,30
acs-osb10,1,1,1,1,10.0,1,600,10
acs-pch104,8,5,59,32,2.1,7,17,16.8
acs-rh228,1,1,4,2,2.1,4,31,2.1
acs-rimac,3,2,31,26,0.8,10,4,2.4
acs-seq142,6,2,6,4,1.1,1,65,6.6
acs-sme143,21,8,43,20,1.5,2,45,31.5
acs-ssb139,11,3,19,12,0.8,1,48,8.8
acs-sungod,9,6,207,129,5.3,23,13,47.7
acs-treetop,11,7,104,73,4.7,9,31,51.7
acs-triton,27,25,962,521,7.8,35,13,210.6
acs-va231,2,2,3,2,1.6,1,99,3.2
acs-vilb3w,2,1,10,9,0.8,5,10,1.6
acs-vilb6e,4,4,56,34,2.3,14,10,9.2
acs-wlh2211,1,1,1,1,0.2,1,11,0.2
acs-wlh2214,1,1,1,1,0.0,1,1,0
acs-wlh2215,1,1,2,1,0.2,2,7,0.2
acs-yh1146,2,2,4,3,1.2,2,35,2.4
acs-yh1344,1,1,2,2,0.4,2,12,0.4
acs-yh2410,1,1,1,1,0.5,1,29,0.5
acs-yh2432,1,1,2,1,0.5,2,14,0.5
acs-yh3020,2,1,2,1,0.0,1,0,0
acs-yh3136,1,1,31,8,6.1,31,11,6.1
