XP/Win7 usage for:  Sun Jul 27 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,36,15,765,264,8.0,21,22,288
ALL-XP,1022,306,9381,3209,6.6,9,43,6745.2
acms-ga,36,15,765,264,8.0,21,22,288
acs-apm3402,13,10,20,13,2.0,1,120,26
acs-apm3432,15,4,28,18,0.5,1,29,7.5
acs-b325,22,10,190,104,3.9,8,29,85.8
acs-b349,28,22,241,132,6.6,8,49,184.8
acs-b432,39,36,500,302,2.4,12,12,93.6
acs-bml,64,30,448,233,9.1,7,77,582.4
acs-bmlgl,4,4,63,39,11.6,15,46,46.4
acs-ccc,2,2,7,6,0.3,3,6,0.6
acs-csb115,22,18,90,38,3.7,4,55,81.4
acs-cseb220,18,9,48,22,11.6,2,347,208.8
acs-cseb250,33,15,116,69,5.3,3,106,174.9
acs-cseb260,35,12,118,57,6.2,3,124,217
acs-cseb270,32,11,86,49,5.7,2,170,182.4
acs-ebu2-127,1,1,2,1,1.3,2,38,1.3
acs-ebu2-203,21,6,66,46,2.9,3,58,60.9
acs-ebu2-239,31,24,161,38,5.7,5,68,176.7
acs-ebu2-315,2,2,8,4,18.3,4,274,36.6
acs-ebu2-330,1,1,4,1,13.1,4,196,13.1
acs-ebu2-333,1,1,6,1,4.2,6,42,4.2
acs-ebu3a161,21,14,100,26,5.1,4,77,107.1
acs-econ100,15,11,35,18,3.1,2,92,46.5
acs-econ304,19,9,226,37,0.3,11,1,5.7
acs-erc117,28,18,113,59,5.2,4,78,145.6
acs-gl1e,78,49,1179,563,13.6,15,54,1060.8
acs-gl1w,57,49,1262,591,17.9,22,48,1020.3
acs-gl2095,18,11,82,37,8.2,4,123,147.6
acs-glb,47,18,362,175,6.6,7,56,310.2
acs-glbsw,25,14,232,122,12.0,9,80,300
acs-glbw,50,33,422,197,9.3,8,69,465
acs-hh1155,1,1,1,1,4.0,1,241,4
acs-hss6033,2,2,25,8,8.5,12,42,17
acs-irps,8,3,22,13,2.9,2,86,23.2
acs-may2544,15,8,23,5,0.1,1,4,1.5
acs-may2574,2,1,3,2,0.0,1,0,0
acs-may2722,6,6,32,21,2.8,5,33,16.8
acs-may3544,1,1,2,1,20.0,2,600,20
acs-mgh2116,1,1,3,3,0.1,3,2,0.1
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,1,1,1,1,10.0,1,600,10
acs-nsb2303,23,17,118,47,3.8,5,45,87.4
acs-nsb2311,3,2,3,2,0.0,1,1,0
acs-nsb2319,3,1,5,2,0.0,1,1,0
acs-pch104,8,4,41,23,0.6,5,6,4.8
acs-pfbh108,1,1,1,1,10.0,1,600,10
acs-rh228,1,1,4,2,0.7,4,10,0.7
acs-rimac,3,2,26,25,3.1,8,22,9.3
acs-seq142,23,19,48,29,2.8,2,84,64.4
acs-sme143,50,28,403,96,10.6,8,79,530
acs-ssb139,11,3,25,14,0.5,2,14,5.5
acs-sungod,9,7,81,64,2.4,9,15,21.6
acs-treetop,13,11,229,125,9.1,17,32,118.3
acs-triton,27,21,1097,636,8.9,40,13,240.3
acs-va231,2,2,3,3,5.0,1,298,10
acs-vilb3w,2,2,20,16,2.5,10,15,5
acs-vilb6e,4,4,139,72,6.7,34,11,26.8
acs-wlh2211,3,2,3,2,0.4,1,21,1.2
acs-wlh2212,5,3,5,3,3.2,1,191,16
acs-wlh2216,1,1,2,1,3.6,2,107,3.6
acs-yh1146,4,1,7,4,0.0,1,1,0
acs-yh1344,2,1,2,1,0.4,1,21,0.8
acs-yh3020,7,7,8,8,1.1,1,65,7.7
acs-yh3136,1,1,18,9,5.4,18,18,5.4
