XP/Win7 usage for:  Sun Jun 14 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,24,9,387,187,8.4,16,31,201.6
ALL-XP,310,48,1656,810,2.4,5,28,744
acms-ga,23,9,386,186,8.7,16,32,200.1
acms-mae,1,1,1,1,10.0,1,600,10
acms-osd,1,1,7,2,0.1,7,1,0.1
acs-apm3402,3,1,3,2,1.2,1,73,3.6
acs-apm3432,3,2,6,3,2.3,2,70,6.9
acs-b349,7,2,12,9,1.1,1,64,7.7
acs-ccc,2,1,4,4,0.5,2,15,1
acs-courtrm,2,2,3,3,0.1,1,4,0.2
acs-csb115,2,1,2,2,0.0,1,1,0
acs-cseb220,1,1,1,1,3.8,1,227,3.8
acs-ebu2-203,14,5,26,14,1.1,1,67,15.4
acs-ebu2-239,3,1,3,2,0.5,1,27,1.5
acs-ebu2-311,3,2,6,1,0.4,2,12,1.2
acs-ebu2-315,2,1,4,2,0.2,2,5,0.4
acs-ebu2-333,2,2,2,2,1.1,1,67,2.2
acs-ebu2-b035,2,1,3,2,1.1,1,67,2.2
acs-ebu3a161,6,2,8,5,0.3,1,20,1.8
acs-econ304,18,7,104,38,6.4,5,77,115.2
acs-erc117,8,4,21,12,0.2,2,6,1.6
acs-gl1al,10,3,12,10,0.9,1,53,9
acs-gl1t,20,4,39,27,0.6,1,35,12
acs-gl1w,8,2,12,9,1.7,1,100,13.6
acs-gl2w,51,13,221,96,3.4,4,51,173.4
acs-hh1155,1,1,1,1,0.1,1,6,0.1
acs-hss6033,2,2,16,11,1.4,8,10,2.8
acs-irps,9,3,46,29,1.1,5,13,9.9
acs-may3543,1,1,1,1,0.5,1,29,0.5
acs-may3544,3,1,5,3,0.7,1,42,2.1
acs-may3574,1,1,1,1,9.8,1,590,9.8
acs-moms,1,1,2,2,0.1,2,1,0.1
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb2311,1,1,2,1,0.0,2,0,0
acs-nsb2319,1,1,2,2,0.0,2,0,0
acs-pch104,7,3,14,10,0.4,2,12,2.8
acs-rh228,1,1,2,1,0.3,2,8,0.3
acs-rimac,3,2,15,14,0.8,5,9,2.4
acs-seq142,5,3,7,7,0.4,1,24,2
acs-sme143,16,3,56,21,1.1,3,21,17.6
acs-sungod,9,5,60,43,6.5,6,64,58.5
acs-treetop,10,4,36,28,1.8,3,35,18
acs-triton,28,12,467,268,3.2,16,12,89.6
acs-usrsrvs,1,1,5,5,0.5,5,6,0.5
acs-vilb3w,1,1,5,4,0.4,5,4,0.4
acs-vilb4e,1,1,1,1,0.1,1,4,0.1
acs-wlh2211,3,3,4,4,1.7,1,102,5.1
acs-wlh2213a,1,1,2,1,4.1,2,122,4.1
acs-wlh2216,1,1,1,1,2.5,1,147,2.5
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh1344,1,1,1,1,0.4,1,24,0.4
acs-yh2310,1,1,1,1,10.0,1,600,10
acs-yh2332,1,1,2,1,0.0,2,1,0
acs-yh2410,1,1,1,1,0.0,1,1,0
acs-yh2432,3,1,9,1,3.1,3,61,9.3
acs-yh4124,2,2,3,3,0.4,1,26,0.8
