XP/Win7 usage for:  Sun Jan 25 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,116,87,4555,1514,23.9,39,36,2772.4
ALL-XP,1082,481,25235,8280,12.5,23,32,13525
acms-ga,116,87,4555,1514,23.9,39,36,2772.4
acs-apm3402,23,15,81,59,2.4,3,48,55.2
acs-apm3432,40,23,732,572,5.7,18,19,228
acs-b349,28,24,596,336,18.5,21,52,518
acs-bh1309,1,1,1,1,0.3,1,19,0.3
acs-bh1329,1,1,4,2,0.7,4,10,0.7
acs-bh1413,1,1,2,2,0.3,2,9,0.3
acs-ccc,3,3,145,51,2.7,48,3,8.1
acs-csb115,23,8,68,51,1.8,2,53,41.4
acs-cseb220,22,6,76,56,1.6,3,31,35.2
acs-ebu2-107,1,1,12,9,20.6,12,103,20.6
acs-ebu2-121,7,5,38,24,6.9,5,82,48.3
acs-ebu2-127,2,2,8,8,2.4,4,35,4.8
acs-ebu2-203,31,31,670,259,27.7,21,79,858.7
acs-ebu2-205,26,25,365,200,15.0,14,64,390
acs-ebu2-239,32,25,356,197,13.6,11,73,435.2
acs-ebu2-311,6,6,49,26,5.4,8,40,32.4
acs-ebu2-312,2,2,19,7,7.2,9,47,14.4
acs-ebu2-315,5,3,11,8,0.4,2,12,2
acs-ebu2-330,11,11,84,12,0.6,7,5,6.6
acs-ebu2-333,2,2,5,4,14.8,2,444,29.6
acs-ebu2-339,2,2,11,7,29.4,5,353,58.8
acs-ebu2-b035,2,2,6,5,0.6,3,12,1.2
acs-ebu3a108,10,8,44,42,1.8,4,26,18
acs-ebu3a161,23,10,206,115,5.0,8,37,115
acs-econ100,20,10,266,143,6.7,13,30,134
acs-econ304,14,12,158,42,14.1,11,77,197.4
acs-erc117,30,29,1079,345,8.7,35,14,261
acs-gl1al,22,19,746,387,20.2,33,36,444.4
acs-gl1t,45,31,1320,672,13.0,29,26,585
acs-gl1w,54,41,1655,697,14.6,30,29,788.4
acs-gl2w,54,43,2446,1326,22.7,45,30,1225.8
acs-hh1155,1,1,1,1,0.0,1,2,0
acs-hss6033,2,2,36,19,3.1,18,10,6.2
acs-irps,10,6,211,104,2.1,21,6,21
acs-may2544,15,14,187,161,18.6,12,92,279
acs-may2722,6,6,82,31,1.2,13,5,7.2
acs-may3229,2,1,2,1,0.0,1,1,0
acs-may3543,1,1,2,2,0.1,2,3,0.1
acs-may3544,7,3,35,15,1.1,5,12,7.7
acs-may3574,9,8,55,20,9.6,6,95,86.4
acs-mgh2116,1,1,2,1,0.0,2,0,0
acs-moms,3,3,371,219,6.8,123,3,20.4
acs-nsb1103a,1,1,1,1,10.0,1,600,10
acs-nsb1313a,5,5,8,1,16.0,1,960,80
acs-nsb2303,42,11,172,82,2.0,4,30,84
acs-nsb2311,4,3,5,5,5.9,1,356,23.6
acs-nsb2319,2,2,2,2,0.0,1,1,0
acs-osb10,1,1,4,3,0.2,4,3,0.2
acs-pch104,8,5,201,68,1.3,25,3,10.4
acs-rcl,1,1,215,156,12.8,215,3,12.8
acs-rh228,1,1,13,7,4.4,13,20,4.4
acs-rimac,3,3,137,102,20.1,45,26,60.3
acs-seq142,25,17,281,138,5.2,11,28,130
acs-sme143,50,44,1117,349,26.4,22,72,1320
acs-sungod,9,9,555,381,29.3,61,28,263.7
acs-treetop,13,13,766,366,18.6,58,19,241.8
acs-triton,28,27,2295,1379,23.2,81,17,649.6
acs-usrsrvs,1,1,2,2,0.1,2,2,0.1
acs-va228,3,2,10,8,2.4,3,47,7.2
acs-va231,2,2,16,7,9.7,8,72,19.4
acs-vilb3w,2,2,384,253,7.8,192,2,15.6
acs-vilb4e,4,4,156,100,13.6,39,20,54.4
acs-wlh2211,15,15,291,233,27.8,19,87,417
acs-wlh2212,20,16,221,110,12.9,11,70,258
acs-wlh2213a,15,15,352,167,31.1,23,81,466.5
acs-wlh2214,5,5,160,122,37.0,32,69,185
acs-wlh2215,15,15,202,158,17.4,13,80,261
acs-wlh2216,5,5,131,69,17.7,26,40,88.5
acs-wlh2217a,10,10,109,60,12.6,10,75,126
acs-wlh2217c,4,4,86,45,15.1,21,43,60.4
acs-yh1146,5,3,6,4,9.3,1,556,46.5
acs-yh1322,3,3,4,2,10.0,1,602,30
acs-yh1344,7,7,17,7,9.5,2,283,66.5
acs-yh2310,1,1,10,6,2.9,10,17,2.9
acs-yh2332,1,1,4,2,6.0,4,90,6
acs-yh2410,7,7,128,49,31.0,18,103,217
acs-yh2432,7,7,118,40,29.2,16,109,204.4
acs-yh3020,24,18,213,55,13.2,8,99,316.8
acs-yh3136,1,1,13,5,5.6,13,25,5.6
acs-yh4124,16,11,32,24,3.2,2,96,51.2
