XP/Win7 usage for:  Sun Jun 28 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,32,20,845,333,13.7,26,31,438.4
ALL-XP,525,131,4289,1823,2.8,8,21,1470
acms-ga,32,20,845,333,13.7,26,31,438.4
acs-apm3402,2,2,2,2,0.3,1,20,0.6
acs-b349,28,12,133,61,2.7,4,39,75.6
acs-ccc,3,1,6,6,0.1,2,4,0.3
acs-csb115,1,0,1,1,0.0,1,0,0
acs-ebu2-203,24,13,75,32,1.7,3,33,40.8
acs-ebu2-205,20,9,53,23,1.1,2,33,22
acs-ebu2-239,2,2,2,2,2.3,1,140,4.6
acs-ebu2-311,3,2,4,1,8.5,1,510,25.5
acs-ebu2-312,1,1,2,1,0.1,2,3,0.1
acs-ebu2-315,6,3,25,5,2.8,4,41,16.8
acs-ebu2-333,3,3,12,5,4.0,4,60,12
acs-ebu2-335,1,1,2,2,0.1,2,1,0.1
acs-ebu2-339,1,1,1,1,0.0,1,2,0
acs-ebu3a108,3,1,4,3,0.4,1,24,1.2
acs-ebu3a161,8,2,12,8,0.1,1,7,0.8
acs-econ100,17,13,36,25,1.6,2,48,27.2
acs-econ304,18,10,69,20,10.0,3,200,180
acs-erc117,30,29,79,57,0.5,2,15,15
acs-gl1al,22,9,91,61,2.8,4,41,61.6
acs-gl1t,36,11,145,93,2.2,4,32,79.2
acs-gl1w,38,14,107,74,1.7,2,49,64.6
acs-gl2w,56,31,768,407,6.9,13,31,386.4
acs-hh1155,1,1,2,2,0.1,2,3,0.1
acs-hss6033,2,2,9,5,0.6,4,9,1.2
acs-irps,5,2,12,10,0.4,2,12,2
acs-may2722,6,6,43,25,0.7,7,5,4.2
acs-may3544,1,1,1,1,0.1,1,5,0.1
acs-nsb1313a,5,5,6,1,10.0,1,600,50
acs-osb10,1,1,1,1,0.5,1,29,0.5
acs-pch104,7,3,26,15,0.9,3,17,6.3
acs-rh228,1,1,4,4,0.3,4,5,0.3
acs-rimac,3,2,20,17,1.4,6,13,4.2
acs-seq142,23,15,108,80,1.6,4,24,36.8
acs-sme143,33,12,113,57,2.1,3,42,69.3
acs-sungod,9,8,143,110,5.1,15,20,45.9
acs-treetop,11,7,47,39,2.0,4,30,22
acs-triton,28,19,1203,562,2.4,42,3,67.2
acs-usrsrvs,1,1,3,3,0.1,3,1,0.1
acs-va228,1,1,1,1,0.0,1,1,0
acs-va231,1,1,1,1,0.9,1,57,0.9
acs-vilb4e,2,2,2,2,1.3,1,79,2.6
acs-wlh2211,1,1,1,1,0.1,1,3,0.1
acs-wlh2212,7,3,17,9,2.8,2,82,19.6
acs-wlh2215,2,1,2,1,0.1,1,5,0.2
acs-wlh2216,1,1,2,1,0.9,2,28,0.9
acs-wlh2217a,7,6,25,17,3.3,3,66,23.1
acs-wlh2217c,4,4,4,4,0.2,1,15,0.8
acs-yh1150,1,1,1,1,10.0,1,600,10
acs-yh3020,4,4,4,4,1.6,1,97,6.4
acs-yh3136,1,1,10,5,0.3,10,1,0.3
acs-yh4124,1,1,4,1,2.9,4,44,2.9
