XP/Win7 usage for:  Sun Mar 15 00:00:00 2015
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,109,79,1888,715,10.2,17,35,1111.8
ALL-XP,936,453,14989,5469,11.1,16,41,10389.6
acms-ga,109,79,1888,715,10.2,17,35,1111.8
acs-apm3402,8,2,9,8,0.1,1,8,0.8
acs-apm3432,39,9,132,84,2.2,3,43,85.8
acs-b349,28,22,289,175,18.0,10,108,504
acs-blake,2,1,4,2,0.1,2,3,0.2
acs-ccc,3,2,56,33,1.2,18,4,3.6
acs-csb115,27,15,110,49,4.2,4,62,113.4
acs-cseb220,13,5,47,34,4.8,3,96,62.4
acs-ebu2-121,2,2,4,3,0.2,2,5,0.4
acs-ebu2-203,33,19,256,151,9.2,7,78,303.6
acs-ebu2-205,24,11,126,87,4.2,5,50,100.8
acs-ebu2-239,32,17,305,162,7.0,9,46,224
acs-ebu2-311,2,1,4,2,1.2,2,35,2.4
acs-ebu2-312,2,2,11,6,7.0,5,84,14
acs-ebu2-315,3,1,4,3,6.8,1,406,20.4
acs-ebu2-328,1,1,1,1,10.0,1,600,10
acs-ebu2-330,1,1,1,1,0.0,1,2,0
acs-ebu2-333,3,3,12,8,4.4,4,65,13.2
acs-ebu2-339,2,2,8,3,26.0,4,390,52
acs-ebu2-b035,2,2,8,7,7.9,4,119,15.8
acs-ebu3a108,7,2,7,3,0.2,1,13,1.4
acs-ebu3a161,27,16,98,59,8.4,3,168,226.8
acs-econ100,20,16,284,145,12.9,14,55,258
acs-econ304,16,10,104,34,14.0,6,139,224
acs-erc117,30,28,941,357,16.5,31,31,495
acs-gl1al,25,19,620,349,22.6,24,56,565
acs-gl1t,46,39,1026,520,18.7,22,51,860.2
acs-gl1w,54,46,1247,575,20.2,23,52,1090.8
acs-gl2w,55,47,1994,1054,26.2,36,43,1441
acs-hss6033,2,2,24,13,4.2,12,21,8.4
acs-irps,10,7,156,79,5.0,15,20,50
acs-may2544,1,1,1,1,0.1,1,3,0.1
acs-may2722,1,1,2,2,0.0,2,1,0
acs-may3543,1,1,4,3,0.1,4,1,0.1
acs-may3544,6,4,27,13,15.8,4,236,94.8
acs-may3574,8,7,45,11,16.0,5,191,128
acs-moms,3,3,233,149,4.5,77,3,13.5
acs-nsb2303,36,10,134,65,3.3,3,66,118.8
acs-nsb2311,1,0,0,0,0.0,0,0,0
acs-pch104,8,4,132,62,1.2,16,4,9.6
acs-rh228,1,1,10,6,5.9,10,35,5.9
acs-rimac,3,3,88,65,14.3,29,29,42.9
acs-seq142,26,18,345,176,8.2,13,37,213.2
acs-sme143,49,46,936,316,20.9,19,66,1024.1
acs-sungod,9,9,376,266,20.8,41,30,187.2
acs-treetop,13,13,355,208,20.6,27,45,267.8
acs-triton,28,24,1698,1022,22.2,60,22,621.6
acs-usrsrvs,1,1,3,2,0.2,3,4,0.2
acs-va228,3,1,9,5,2.0,3,40,6
acs-vilb3w,1,1,83,72,4.2,83,3,4.2
acs-vilb4e,4,4,218,132,13.6,54,15,54.4
acs-wlh2211,14,10,99,26,28.5,7,244,399
acs-wlh2212,19,14,117,64,12.1,6,121,229.9
acs-wlh2213a,14,8,65,31,7.6,4,113,106.4
acs-wlh2214,5,5,54,37,12.7,10,76,63.5
acs-wlh2215,11,6,15,10,6.6,1,394,72.6
acs-wlh2216,5,5,40,24,9.3,8,70,46.5
acs-wlh2217a,7,7,24,15,15.1,3,301,105.7
acs-wlh2217c,5,5,44,20,23.1,8,173,115.5
acs-yh1146,1,1,1,1,10.0,1,600,10
acs-yh1344,1,1,1,1,0.1,1,3,0.1
acs-yh2310,1,1,1,1,0.5,1,27,0.5
acs-yh2410,2,1,3,3,0.7,1,40,1.4
acs-yh2432,1,1,1,1,5.2,1,314,5.2
acs-yh3020,17,5,43,16,6.8,2,204,115.6
acs-yh3136,1,1,5,3,0.3,5,3,0.3
acs-yh4124,1,1,1,1,0.9,1,54,0.9
