XP/Win7 usage for:  Sun Jul 13 00:00:00 2014
Lab,#Seats,Simul. Users,Tot#Sess,Tot#Users,Hours/Seat,Sess/Seat,Avg Minutes/Sess,Tot#Hours/Lab
ALL-VLAB,41,13,885,314,7.8,21,22,319.8
ALL-XP,1029,352,9139,3174,6.1,8,46,6276.9
acms-ga,41,13,885,314,7.8,21,22,319.8
acs-apm3402,12,12,23,12,2.6,1,154,31.2
acs-apm3432,8,2,11,7,0.4,1,22,3.2
acs-b325,22,21,287,136,12.7,13,58,279.4
acs-b349,27,16,223,120,6.6,8,49,178.2
acs-b432,37,24,341,174,5.1,9,33,188.7
acs-bh1329,1,1,1,1,0.1,1,5,0.1
acs-bml,63,29,429,223,10.0,6,100,630
acs-bmlgl,4,4,62,32,31.5,15,126,126
acs-ccc,2,2,11,11,1.2,5,14,2.4
acs-csb115,30,30,187,57,5.2,6,52,156
acs-cseb220,17,3,43,16,3.9,2,116,66.3
acs-cseb250,35,12,139,70,3.6,3,72,126
acs-cseb260,31,9,90,49,2.6,2,77,80.6
acs-cseb270,35,16,81,43,3.5,2,104,122.5
acs-ebu2-127,2,2,2,2,1.0,1,60,2
acs-ebu2-203,24,6,80,44,3.4,3,67,81.6
acs-ebu2-239,31,24,196,35,7.2,6,71,223.2
acs-ebu2-312,1,1,1,1,0.0,1,1,0
acs-ebu2-315,2,1,3,3,1.7,1,103,3.4
acs-ebu2-333,1,1,2,1,0.2,2,7,0.2
acs-ebu2-b035,2,2,3,3,1.6,1,95,3.2
acs-ebu3a161,22,18,156,35,6.3,7,53,138.6
acs-econ-rdp,2,2,5,3,10.5,2,314,21
acs-econ100,20,18,71,45,5.8,3,115,116
acs-econ200,13,11,41,18,4.2,3,84,54.6
acs-econ304,14,4,40,15,0.2,2,6,2.8
acs-erc117,29,21,104,52,2.5,3,49,72.5
acs-gl1e,78,41,993,486,10.0,12,50,780
acs-gl1w,58,42,1126,555,16.5,19,52,957
acs-gl2095,13,6,57,34,7.7,4,115,100.1
acs-glb,45,18,262,144,5.6,5,66,252
acs-glbsw,25,13,166,94,7.8,6,78,195
acs-glbw,52,31,440,200,7.9,8,59,410.8
acs-hh1155,1,1,1,1,6.1,1,365,6.1
acs-hss6033,2,2,16,6,3.3,8,24,6.6
acs-irps,7,2,12,9,2.0,1,122,14
acs-may2544,1,1,1,1,0.1,1,8,0.1
acs-may2722,6,6,49,23,1.4,8,10,8.4
acs-may3544,2,2,5,1,8.4,2,251,16.8
acs-mgh2116,1,1,5,3,0.3,5,3,0.3
acs-nsb1103a,2,2,4,1,20.0,2,600,40
acs-nsb1111,1,1,1,1,10.0,1,600,10
acs-nsb1313a,4,4,15,2,23.0,3,460,92
acs-nsb2303,25,21,176,66,5.7,7,48,142.5
acs-nsb2311,1,1,5,4,22.8,5,273,22.8
acs-nsb2319,6,1,9,3,0.3,1,18,1.8
acs-pch104,7,5,65,35,4.9,9,32,34.3
acs-pfbh108,9,9,38,14,10.6,4,159,95.4
acs-rh228,1,1,6,2,2.4,6,24,2.4
acs-rimac,3,3,26,21,3.4,8,25,10.2
acs-seq142,21,19,58,36,3.5,2,104,73.5
acs-sme143,45,32,309,92,7.4,6,73,333
acs-ssb139,7,3,20,12,1.2,2,35,8.4
acs-sungod,9,8,227,150,6.1,25,14,54.9
acs-treetop,13,11,217,128,9.6,16,36,124.8
acs-triton,27,24,1089,551,8.6,40,12,232.2
acs-va231,2,2,6,3,4.4,3,88,8.8
acs-vilb3w,1,1,2,2,0.1,2,3,0.1
acs-vilb6e,4,3,101,61,4.5,25,10,18
acs-wlh2211,2,1,2,2,0.5,1,28,1
acs-wlh2212,5,2,5,3,1.9,1,113,9.5
acs-yh1146,6,3,11,4,13.5,1,810,81
acs-yh1150,1,1,2,1,20.0,2,600,20
acs-yh1344,1,1,1,1,1.3,1,79,1.3
acs-yh2410,2,1,3,2,0.6,1,34,1.2
acs-yh2432,4,3,70,6,1.2,17,4,4.8
acs-yh3136,1,1,21,6,2.8,21,8,2.8
