,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
2100,acs-cseb260,39,21,200,93,4.3,5,52,167.7,2014-08-03,Windows
2123,acs-may2574,2,1,3,2,0.1,1,8,0.2,2014-08-03,Windows
2111,acs-econ304,12,6,38,19,7.4,3,148,88.8,2014-08-03,Windows
2113,acs-gl1e,76,42,834,425,6.6,10,39,501.6,2014-08-03,Windows
2114,acs-gl1w,56,37,997,471,12.5,17,43,700.0,2014-08-03,Windows
2115,acs-gl2095,9,3,18,12,2.0,2,61,18.0,2014-08-03,Windows
2116,acs-glb,44,13,187,119,3.6,4,53,158.4,2014-08-03,Windows
2117,acs-glbsw,25,9,140,70,5.5,5,65,137.5,2014-08-03,Windows
2118,acs-glbw,47,19,233,113,3.7,4,56,173.9,2014-08-03,Windows
2119,acs-hh1155,1,1,1,1,2.2,1,135,2.2,2014-08-03,Windows
2110,acs-econ100,1,1,1,1,5.0,1,298,5.0,2014-08-03,Windows
2121,acs-irps,8,6,39,21,1.8,4,26,14.4,2014-08-03,Windows
2112,acs-erc117,4,1,6,5,0.3,1,17,1.2,2014-08-03,Windows
2088,ALL-XP,813,190,6131,2374,4.2,7,36,3414.6,2014-08-03,Windows
2087,ALL-VLAB,36,13,740,295,7.3,20,21,262.8,2014-08-03,Windows
220,acs-sungod,8,5,61,46,2.0,7,17,16.0,2014-08-03,Mac
215,acs-pch240,7,7,7,7,2.5,1,152,17.5,2014-08-03,Mac
216,acs-pch264,13,4,33,20,2.7,2,81,35.1,2014-08-03,Mac
217,acs-pch440,7,4,24,7,7.0,3,140,49.0,2014-08-03,Mac
218,acs-raza,7,5,18,13,0.6,2,17,4.2,2014-08-03,Mac
219,acs-rimac,3,3,25,21,4.8,8,35,14.4,2014-08-03,Mac
2135,acs-va231,2,2,13,6,20.6,6,206,41.2,2014-08-03,Windows
221,acs-va228,5,2,18,4,3.7,3,74,18.5,2014-08-03,Mac
