,lab,no_seats,simul_users,tot_no_sess,tot_no_users,hours_per_seat,sess_per_seat,avg_min_sess,tot_hrs_per_lab,date,type
5333,acs-pch104,7,2,19,11,0.5,2,15,3.5,2014-09-07,Windows
5334,acs-rh228,1,1,2,1,1.0,2,31,1.0,2014-09-07,Windows
5327,acs-nsb1303a,2,1,2,1,0.0,1,1,0.0,2014-09-07,Windows
5335,acs-seq142,3,2,3,2,0.0,1,1,0.0,2014-09-07,Windows
5337,acs-ssb139,6,2,13,6,1.0,2,31,6.0,2014-09-07,Windows
5338,acs-treetop,12,5,62,40,4.8,5,57,57.6,2014-09-07,Windows
5319,acs-glbsw,14,4,27,13,1.3,1,76,18.2,2014-09-07,Windows
5340,acs-vilb6e,4,4,31,23,4.6,7,39,18.4,2014-09-07,Windows
5341,acs-yh1146,2,1,2,2,0.1,1,4,0.2,2014-09-07,Windows
5342,acs-yh1344,2,1,3,2,0.1,1,8,0.2,2014-09-07,Windows
5343,acs-yh2410,7,7,30,4,0.7,4,10,4.9,2014-09-07,Windows
5336,acs-sme143,18,5,51,20,2.8,2,84,50.4,2014-09-07,Windows
5326,acs-may3574,2,2,13,2,16.2,6,162,32.4,2014-09-07,Windows
5339,acs-triton,1,1,14,13,2.7,14,11,2.7,2014-09-07,Windows
5325,acs-may3544,1,1,1,1,1.8,1,105,1.8,2014-09-07,Windows
5323,acs-irps,10,7,317,67,1.2,31,2,12.0,2014-09-07,Windows
5322,acs-hss6033,2,1,9,5,0.8,4,11,1.6,2014-09-07,Windows
5321,acs-hh1155,1,1,2,2,0.0,2,0,0.0,2014-09-07,Windows
5324,acs-may2544,1,1,2,1,0.3,2,8,0.3,2014-09-07,Windows
5125,acs-wlh2216,5,5,5,1,0.0,1,1,0.0,2014-09-14,Windows
1466,acs-blb,5,3,22,11,8.8,4,132,44.0,2014-09-14,Mac
1465,ALL-MAC,155,40,412,180,3.4,2,101,527.0,2014-09-14,Mac
5133,acs-yh3136,1,1,5,3,1.2,5,14,1.2,2014-09-14,Windows
5132,acs-yh3020,7,3,10,7,1.2,1,70,8.4,2014-09-14,Windows
5131,acs-yh2432,7,6,33,12,0.7,4,9,4.9,2014-09-14,Windows
5130,acs-yh2410,6,3,35,5,5.3,5,63,31.8,2014-09-14,Windows
5124,acs-wlh2215,14,14,14,1,0.1,1,8,1.4,2014-09-14,Windows
5129,acs-yh1344,1,1,2,1,3.3,2,99,3.3,2014-09-14,Windows
5127,acs-wlh2217c,5,5,5,1,0.0,1,1,0.0,2014-09-14,Windows
1467,acs-cpmc201,1,1,1,1,0.3,1,16,0.3,2014-09-14,Mac
5121,acs-wlh2212,20,20,22,2,0.0,1,1,0.0,2014-09-14,Windows
5122,acs-wlh2213a,15,15,30,1,1.2,2,35,18.0,2014-09-14,Windows
5123,acs-wlh2214,5,5,6,1,0.0,1,1,0.0,2014-09-14,Windows
5126,acs-wlh2217a,10,10,20,1,0.0,2,0,0.0,2014-09-14,Windows
5128,acs-yh1150,1,1,1,1,0.1,1,7,0.1,2014-09-14,Windows
5120,acs-wlh2211,10,9,11,3,0.0,1,1,0.0,2014-09-14,Windows
5094,acs-ebu3a161,11,2,14,8,0.7,1,39,7.7,2014-09-14,Windows
1469,acs-cpmc205,1,1,1,1,0.0,1,2,0.0,2014-09-14,Mac
1488,acs-york3070,24,24,41,26,2.6,1,157,62.4,2014-09-14,Mac
1487,acs-york3060,9,9,12,10,6.0,1,358,54.0,2014-09-14,Mac
1486,acs-york1310,23,20,102,33,10.1,4,151,232.3,2014-09-14,Mac
1485,acs-vilb6e,2,2,7,7,0.6,3,12,1.2,2014-09-14,Mac
1484,acs-vilb3w,2,1,2,2,0.0,1,2,0.0,2014-09-14,Mac
1483,acs-va228,10,5,24,8,0.5,2,14,5.0,2014-09-14,Mac
1482,acs-rimac,3,1,9,8,1.4,3,27,4.2,2014-09-14,Mac
1481,acs-rh228,4,1,5,3,1.2,1,72,4.8,2014-09-14,Mac
1480,acs-raza,4,2,9,5,0.3,2,9,1.2,2014-09-14,Mac
1479,acs-pch440,31,25,94,28,4.9,3,98,151.9,2014-09-14,Mac
1478,acs-pch264,7,2,10,7,0.8,1,45,5.6,2014-09-14,Mac
1477,acs-pch240,2,1,2,2,0.0,1,1,0.0,2014-09-14,Mac
1476,acs-osb10,1,1,2,2,0.1,2,3,0.1,2014-09-14,Mac
1475,acs-manb206,4,1,13,3,1.6,3,32,6.4,2014-09-14,Mac
1474,acs-manb114,3,2,7,2,1.0,2,31,3.0,2014-09-14,Mac
1473,acs-hh1155,1,1,1,1,2.6,1,154,2.6,2014-09-14,Mac
1472,acs-gl1w,15,5,45,28,0.4,3,7,6.0,2014-09-14,Mac
1471,acs-gh18b,1,1,1,1,2.2,1,131,2.2,2014-09-14,Mac
1470,acs-cpmc206,1,1,1,1,0.0,1,2,0.0,2014-09-14,Mac
1468,acs-cpmc204,1,1,1,1,10.0,1,600,10.0,2014-09-14,Mac
5119,acs-vilb6e,4,3,29,15,10.2,7,87,40.8,2014-09-14,Windows
5116,acs-ssb139,2,1,2,2,0.3,1,16,0.6,2014-09-14,Windows
5117,acs-treetop,10,4,38,20,3.6,3,72,36.0,2014-09-14,Windows
5078,acs-bml,62,61,374,161,5.8,6,58,359.6,2014-09-14,Windows
5079,acs-bmlgl,4,3,51,27,6.3,12,31,25.2,2014-09-14,Windows
5080,acs-ccc,2,2,11,4,1.9,5,22,3.8,2014-09-14,Windows
5081,acs-csb115,3,2,3,2,0.2,1,9,0.6,2014-09-14,Windows
5082,acs-cseb220,4,1,10,6,0.8,2,22,3.2,2014-09-14,Windows
5083,acs-cseb250,5,2,7,5,1.4,1,85,7.0,2014-09-14,Windows
5084,acs-cseb260,4,1,4,4,0.9,1,52,3.6,2014-09-14,Windows
5077,acs-bh1449,1,1,1,1,0.0,1,1,0.0,2014-09-14,Windows
5085,acs-cseb270,2,1,2,2,0.1,1,5,0.2,2014-09-14,Windows
5087,acs-ebu2-203,16,6,35,2,0.0,2,1,0.0,2014-09-14,Windows
5088,acs-ebu2-205,22,9,57,1,0.0,2,1,0.0,2014-09-14,Windows
5089,acs-ebu2-239,27,5,31,7,0.0,1,0,0.0,2014-09-14,Windows
5090,acs-ebu2-315,1,1,1,1,0.9,1,54,0.9,2014-09-14,Windows
5091,acs-ebu2-328,1,1,2,2,0.1,2,1,0.1,2014-09-14,Windows
5092,acs-ebu2-330,16,16,20,2,8.5,1,507,136.0,2014-09-14,Windows
5093,acs-ebu2-333,3,3,9,6,2.7,3,53,8.1,2014-09-14,Windows
5086,acs-ebu2-127,1,1,3,1,3.9,3,77,3.9,2014-09-14,Windows
5076,acs-bh1413,1,1,1,1,0.1,1,5,0.1,2014-09-14,Windows
5096,acs-erc117,1,1,1,1,0.0,1,2,0.0,2014-09-14,Windows
5097,acs-gl1e,68,15,348,169,3.3,5,39,224.4,2014-09-14,Windows
5095,acs-econ100,6,3,8,2,0.0,1,1,0.0,2014-09-14,Windows
5115,acs-sme143,41,36,105,78,0.9,2,26,36.9,2014-09-14,Windows
5114,acs-rh228,1,1,3,2,1.2,3,23,1.2,2014-09-14,Windows
5113,acs-pfbh108,1,1,1,1,1.1,1,69,1.1,2014-09-14,Windows
5112,acs-pch104,5,2,15,7,0.9,3,17,4.5,2014-09-14,Windows
5111,acs-osb10,1,1,2,2,0.6,2,16,0.6,2014-09-14,Windows
5110,acs-nsb2319,1,1,1,1,10.0,1,600,10.0,2014-09-14,Windows
5109,acs-nsb1103a,1,1,1,1,10.0,1,600,10.0,2014-09-14,Windows
5107,acs-may3544,5,5,6,1,0.0,1,1,0.0,2014-09-14,Windows
5106,acs-may3543,1,1,1,1,0.0,1,1,0.0,2014-09-14,Windows
5105,acs-may2722,1,1,1,1,0.0,1,2,0.0,2014-09-14,Windows
5104,acs-may2544,14,8,27,2,0.0,1,1,0.0,2014-09-14,Windows
5103,acs-irps,10,5,103,55,0.9,10,5,9.0,2014-09-14,Windows
5102,acs-hss6033,2,1,3,2,0.5,1,27,1.0,2014-09-14,Windows
5101,acs-glbw,45,13,143,71,2.9,3,58,130.5,2014-09-14,Windows
5100,acs-glbsw,24,9,76,43,2.1,3,42,50.4,2014-09-14,Windows
5098,acs-gl1w,49,26,108,61,2.2,2,66,107.8,2014-09-14,Windows
5118,acs-vilb3w,2,1,4,4,1.9,2,58,3.8,2014-09-14,Windows
5099,acs-gl2095,1,1,2,2,0.0,2,0,0.0,2014-09-14,Windows
5108,acs-may3574,7,6,18,3,1.3,2,39,9.1,2014-09-14,Windows
5075,acs-bh1329,1,1,1,1,0.0,1,1,0.0,2014-09-14,Windows
5074,acs-bh1309,1,1,1,1,0.0,1,1,0.0,2014-09-14,Windows
5073,acs-b325,1,1,2,1,0.0,2,0,0.0,2014-09-14,Windows
5072,acms-mae,1,1,1,1,0.5,1,28,0.5,2014-09-14,Windows
5071,acms-ga,28,7,348,140,4.2,12,21,117.6,2014-09-14,Windows
5070,ALL-XP,628,85,2234,843,1.8,3,35,1130.4,2014-09-14,Windows
5069,ALL-VLAB,29,7,349,141,4.1,12,20,118.9,2014-09-14,Windows
5157,acs-ebu2-339,2,2,3,1,0.0,1,0,0.0,2014-09-21,Windows
5154,acs-ebu2-330,16,8,24,2,0.1,1,4,1.6,2014-09-21,Windows
5159,acs-ebu3a161,7,2,11,6,1.1,1,67,7.7,2014-09-21,Windows
5160,acs-econ100,2,1,4,2,0.0,2,0,0.0,2014-09-21,Windows
5161,acs-erc117,1,1,1,1,0.2,1,11,0.2,2014-09-21,Windows
5162,acs-gl1e,25,12,41,30,0.9,1,52,22.5,2014-09-21,Windows
5163,acs-glbsw,9,3,10,7,0.6,1,33,5.4,2014-09-21,Windows
5156,acs-ebu2-335,13,12,24,2,0.1,1,4,1.3,2014-09-21,Windows
5155,acs-ebu2-333,2,2,6,3,3.7,3,74,7.4,2014-09-21,Windows
5158,acs-ebu2-b035,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5164,acs-glbw,52,18,185,73,1.8,3,35,93.6,2014-09-21,Windows
5153,acs-ebu2-328,2,2,6,2,0.2,3,3,0.4,2014-09-21,Windows
5151,acs-ebu2-312,2,1,2,1,0.0,1,0,0.0,2014-09-21,Windows
5136,acms-ga,72,48,470,205,2.1,6,20,151.2,2014-09-21,Windows
5137,acs-bh1413,1,1,1,1,1.7,1,104,1.7,2014-09-21,Windows
5138,acs-bml,33,16,276,134,6.6,8,49,217.8,2014-09-21,Windows
5139,acs-bmlgl,4,2,35,28,3.1,8,23,12.4,2014-09-21,Windows
5140,acs-ccc,2,2,12,8,0.8,6,7,1.6,2014-09-21,Windows
1490,acs-blb,5,3,34,15,6.1,6,60,30.5,2014-09-21,Mac
5142,acs-cseb220,5,2,7,7,2.3,1,136,11.5,2014-09-21,Windows
5143,acs-ebu2-107,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5144,acs-ebu2-121,7,5,11,2,0.0,1,2,0.0,2014-09-21,Windows
5145,acs-ebu2-127,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5146,acs-ebu2-131,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5147,acs-ebu2-203,33,14,104,7,0.3,3,5,9.9,2014-09-21,Windows
5148,acs-ebu2-205,25,11,53,2,0.3,2,7,7.5,2014-09-21,Windows
5149,acs-ebu2-239,32,12,132,1,0.3,4,4,9.6,2014-09-21,Windows
5150,acs-ebu2-311,6,6,6,1,0.0,1,2,0.0,2014-09-21,Windows
5152,acs-ebu2-315,6,6,46,5,0.2,7,1,1.2,2014-09-21,Windows
5165,acs-hss6033,2,2,13,10,1.5,6,15,3.0,2014-09-21,Windows
5169,acs-may2722,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5167,acs-may2544,15,3,18,4,0.0,1,0,0.0,2014-09-21,Windows
1489,ALL-MAC,81,8,225,140,0.9,2,26,72.9,2014-09-21,Mac
1492,acs-cpmc201,1,1,1,1,10.0,1,600,10.0,2014-09-21,Mac
1493,acs-gh18b,2,2,2,1,0.3,1,16,0.6,2014-09-21,Mac
1494,acs-gl1w,17,3,68,45,0.5,4,8,8.5,2014-09-21,Mac
1495,acs-hss6033,1,1,3,3,0.2,3,4,0.2,2014-09-21,Mac
1496,acs-manb114,3,1,5,1,1.9,1,112,5.7,2014-09-21,Mac
1497,acs-manb206,2,1,2,2,0.2,1,12,0.4,2014-09-21,Mac
1498,acs-may4623,1,1,1,1,0.1,1,5,0.1,2014-09-21,Mac
1499,acs-osb10,1,1,2,1,0.3,2,8,0.3,2014-09-21,Mac
1500,acs-pch240,1,1,1,1,0.1,1,3,0.1,2014-09-21,Mac
1501,acs-pch264,15,6,23,20,0.4,1,21,6.0,2014-09-21,Mac
1502,acs-pch440,2,1,3,2,0.0,1,2,0.0,2014-09-21,Mac
1503,acs-raza,6,2,10,4,0.1,1,4,0.6,2014-09-21,Mac
1504,acs-rh228,2,1,2,2,0.1,1,8,0.2,2014-09-21,Mac
1505,acs-rimac,3,2,20,19,1.8,6,17,5.4,2014-09-21,Mac
1506,acs-sungod,7,3,20,16,0.7,2,20,4.9,2014-09-21,Mac
1507,acs-va228,2,1,10,2,1.9,5,22,3.8,2014-09-21,Mac
1508,acs-vilb3w,1,1,2,2,0.0,2,1,0.0,2014-09-21,Mac
1509,acs-vilb6e,2,2,9,7,0.3,4,4,0.6,2014-09-21,Mac
1510,acs-york1310,2,1,2,2,0.7,1,42,1.4,2014-09-21,Mac
1511,acs-york3060,2,1,2,2,0.1,1,6,0.2,2014-09-21,Mac
1512,acs-york3070,2,1,2,2,0.1,1,7,0.2,2014-09-21,Mac
5174,acs-osb10,1,1,3,1,0.2,3,4,0.2,2014-09-21,Windows
5173,acs-nsb2319,1,1,1,1,10.0,1,600,10.0,2014-09-21,Windows
5172,acs-nsb1313a,1,1,1,1,10.0,1,600,10.0,2014-09-21,Windows
5171,acs-moms,2,1,4,3,0.2,2,5,0.4,2014-09-21,Windows
5170,acs-may3574,1,1,10,1,16.4,10,98,16.4,2014-09-21,Windows
5135,ALL-XP,475,69,1783,636,1.2,3,23,570.0,2014-09-21,Windows
5168,acs-may2574,2,2,2,1,0.0,1,0,0.0,2014-09-21,Windows
5166,acs-irps,9,5,55,33,2.1,6,21,18.9,2014-09-21,Windows
5134,ALL-VLAB,72,48,470,205,2.1,6,20,151.2,2014-09-21,Windows
5141,acs-csb115,15,2,19,7,0.0,1,1,0.0,2014-09-21,Windows
1491,acs-cntr315,1,1,1,1,0.0,1,2,0.0,2014-09-21,Mac
5175,acs-pch104,6,2,15,9,1.6,2,48,9.6,2014-09-21,Windows
5176,acs-rh228,1,1,9,1,27.5,9,183,27.5,2014-09-21,Windows
5177,acs-sme143,11,5,16,7,0.5,1,31,5.5,2014-09-21,Windows
5178,acs-vilb3w,1,1,6,5,0.4,6,3,0.4,2014-09-21,Windows
5179,acs-vilb6e,3,2,42,38,1.5,14,6,4.5,2014-09-21,Windows
5180,acs-wlh2211,7,4,12,5,9.5,1,570,66.5,2014-09-21,Windows
5181,acs-wlh2212,1,1,1,1,0.0,1,1,0.0,2014-09-21,Windows
5182,acs-yh1146,1,1,1,1,0.3,1,17,0.3,2014-09-21,Windows
5184,acs-yh2410,2,1,2,2,0.1,1,3,0.2,2014-09-21,Windows
5185,acs-yh3020,22,20,70,25,7.1,3,142,156.2,2014-09-21,Windows
5186,acs-yh3136,1,1,2,2,0.1,2,4,0.1,2014-09-21,Windows
5183,acs-yh1344,1,1,1,1,10.0,1,600,10.0,2014-09-21,Windows
5236,acs-yh1322,3,2,3,2,0.2,1,10,0.6,2014-09-28,Windows
5201,acs-ebu2-239,30,30,136,122,8.9,4,132,267.0,2014-09-28,Windows
5243,acs-yh3136,1,1,10,4,2.6,10,15,2.6,2014-09-28,Windows
5242,acs-yh3020,3,1,4,2,0.3,1,17,0.9,2014-09-28,Windows
5241,acs-yh2432,1,1,2,2,0.1,2,2,0.1,2014-09-28,Windows
5240,acs-yh2410,4,3,7,6,0.2,1,10,0.8,2014-09-28,Windows
5239,acs-yh2332,1,1,2,2,3.5,2,105,3.5,2014-09-28,Windows
5226,acs-wlh2211,9,9,40,18,6.4,4,96,57.6,2014-09-28,Windows
5238,acs-yh2310,1,1,2,2,2.4,2,70,2.4,2014-09-28,Windows
5237,acs-yh1344,5,4,5,1,6.4,1,383,32.0,2014-09-28,Windows
5227,acs-wlh2212,14,5,17,2,0.0,1,2,0.0,2014-09-28,Windows
5229,acs-wlh2214,5,4,9,4,1.0,1,59,5.0,2014-09-28,Windows
5230,acs-wlh2215,6,6,6,1,0.1,1,5,0.6,2014-09-28,Windows
5231,acs-wlh2216,1,1,1,1,0.0,1,2,0.0,2014-09-28,Windows
5232,acs-wlh2217a,3,3,3,2,0.0,1,1,0.0,2014-09-28,Windows
5233,acs-wlh2217c,1,1,1,1,0.0,1,1,0.0,2014-09-28,Windows
5202,acs-ebu2-311,1,1,1,1,0.0,1,1,0.0,2014-09-28,Windows
5234,acs-yh1146,2,1,5,3,10.9,2,326,21.8,2014-09-28,Windows
5235,acs-yh1150,1,1,1,1,10.0,1,600,10.0,2014-09-28,Windows
5228,acs-wlh2213a,14,14,22,4,0.1,1,3,1.4,2014-09-28,Windows
5203,acs-ebu2-315,3,1,6,2,0.1,2,2,0.3,2014-09-28,Windows
5209,acs-hh1155,1,1,3,1,1.5,3,30,1.5,2014-09-28,Windows
5205,acs-ebu2-335,1,1,1,1,0.2,1,15,0.2,2014-09-28,Windows
5244,acs-yh4124,16,7,43,3,0.0,2,0,0.0,2014-09-28,Windows
5223,acs-rh228,1,1,1,1,0.6,1,37,0.6,2014-09-28,Windows
5222,acs-rcl,1,1,30,27,2.0,30,4,2.0,2014-09-28,Windows
5221,acs-pch104,7,5,64,41,1.1,9,7,7.7,2014-09-28,Windows
5220,acs-osb10,1,1,5,3,4.5,5,54,4.5,2014-09-28,Windows
5219,acs-nsb2311,4,3,4,1,0.3,1,18,1.2,2014-09-28,Windows
5218,acs-nsb1313a,4,3,5,2,0.1,1,7,0.4,2014-09-28,Windows
5217,acs-moms,3,2,75,58,1.6,25,3,4.8,2014-09-28,Windows
5216,acs-may3574,5,4,7,6,3.4,1,201,17.0,2014-09-28,Windows
5215,acs-may3544,6,6,15,10,3.7,2,112,22.2,2014-09-28,Windows
5214,acs-may3543,1,1,2,2,0.1,2,3,0.1,2014-09-28,Windows
5213,acs-may2722,2,1,2,2,0.0,1,0,0.0,2014-09-28,Windows
5212,acs-may2544,5,5,6,6,0.5,1,31,2.5,2014-09-28,Windows
5211,acs-irps,10,7,155,86,4.0,15,16,40.0,2014-09-28,Windows
5210,acs-hss6033,2,2,16,11,2.9,8,21,5.8,2014-09-28,Windows
5225,acs-vilb6e,3,2,7,6,0.1,2,3,0.3,2014-09-28,Windows
5208,acs-glbw,50,30,443,263,5.3,8,39,265.0,2014-09-28,Windows
5207,acs-erc117,1,1,1,1,10.0,1,600,10.0,2014-09-28,Windows
5206,acs-ebu2-b035,2,2,2,2,2.8,1,165,5.6,2014-09-28,Windows
5204,acs-ebu2-333,2,2,11,6,7.1,5,84,14.2,2014-09-28,Windows
5224,acs-vilb3w,2,2,176,110,10.0,88,6,20.0,2014-09-28,Windows
5192,acs-bml,9,4,14,12,1.1,1,68,9.9,2014-09-28,Windows
1513,ALL-MAC,174,49,1042,705,2.4,5,28,417.6,2014-09-28,Mac
1540,acs-sungod,9,9,292,201,6.5,32,12,58.5,2014-09-28,Mac
1541,acs-va228,4,2,10,4,1.7,2,50,6.8,2014-09-28,Mac
1542,acs-vilb3w,2,2,77,67,4.1,38,6,8.2,2014-09-28,Mac
1543,acs-vilb6e,1,1,2,2,0.1,2,2,0.1,2014-09-28,Mac
1544,acs-york1310,1,1,4,2,0.3,4,4,0.3,2014-09-28,Mac
1545,acs-york3070,4,2,9,4,0.1,2,1,0.4,2014-09-28,Mac
1520,acs-gh145,1,1,5,1,2.0,5,24,2.0,2014-09-28,Mac
5187,ALL-VLAB,73,48,939,404,6.3,12,31,459.9,2014-09-28,Windows
5188,ALL-XP,424,110,2593,1330,2.5,6,25,1060.0,2014-09-28,Windows
5189,acms-ga,73,48,939,404,6.3,12,31,459.9,2014-09-28,Windows
5190,acs-bh1449,1,1,2,1,0.1,2,2,0.1,2014-09-28,Windows
5200,acs-ebu2-205,15,4,22,16,1.2,1,70,18.0,2014-09-28,Windows
5199,acs-ebu2-203,20,4,57,32,1.1,2,34,22.0,2014-09-28,Windows
5198,acs-cseb260,1,1,5,2,0.1,5,1,0.1,2014-09-28,Windows
5197,acs-cseb220,28,18,92,54,0.4,3,7,11.2,2014-09-28,Windows
5196,acs-csb115,25,18,46,35,1.2,1,70,30.0,2014-09-28,Windows
5195,acs-courtrm,7,1,9,1,0.0,1,0,0.0,2014-09-28,Windows
5194,acs-ccc,2,2,39,21,0.8,19,2,1.6,2014-09-28,Windows
5193,acs-bmlgl,3,2,7,7,0.1,2,4,0.3,2014-09-28,Windows
1539,acs-rimac,3,2,41,34,2.9,13,13,8.7,2014-09-28,Mac
1521,acs-gh18a,4,3,8,4,0.8,2,22,3.2,2014-09-28,Mac
1538,acs-rh228,2,2,3,3,0.4,1,26,0.8,2014-09-28,Mac
1536,acs-raza,8,4,42,32,0.4,5,5,3.2,2014-09-28,Mac
1514,acs-blb,5,4,33,22,7.4,6,73,37.0,2014-09-28,Mac
1515,acs-cntr315,15,5,42,29,0.8,2,24,12.0,2014-09-28,Mac
1516,acs-cpmc201,1,1,3,2,0.1,3,1,0.1,2014-09-28,Mac
5191,acs-blb,1,1,4,1,0.1,4,1,0.1,2014-09-28,Windows
1518,acs-cpmc205,1,1,2,2,0.2,2,7,0.2,2014-09-28,Mac
1519,acs-cpmc207,1,1,1,1,10.0,1,600,10.0,2014-09-28,Mac
1522,acs-gh18b,10,5,26,18,0.9,2,26,9.0,2014-09-28,Mac
1523,acs-gl1w,18,8,145,100,1.9,8,14,34.2,2014-09-28,Mac
1524,acs-hh1155,1,1,1,1,0.8,1,51,0.8,2014-09-28,Mac
1537,acs-rcl,1,1,63,53,9.6,63,9,9.6,2014-09-28,Mac
1525,acs-hss6033,1,1,14,9,3.1,14,13,3.1,2014-09-28,Mac
1527,acs-manb206,2,1,2,2,1.1,1,69,2.2,2014-09-28,Mac
1528,acs-may2130,5,2,5,3,0.0,1,1,0.0,2014-09-28,Mac
1529,acs-may2306,3,1,3,1,0.0,1,0,0.0,2014-09-28,Mac
1530,acs-may2326,1,1,1,1,0.4,1,24,0.4,2014-09-28,Mac
1531,acs-may4623,24,24,89,77,4.3,3,85,103.2,2014-09-28,Mac
1532,acs-osb10,1,1,4,1,3.3,4,49,3.3,2014-09-28,Mac
1533,acs-pch240,16,11,27,19,1.7,1,100,27.2,2014-09-28,Mac
1534,acs-pch264,17,6,71,48,2.2,4,32,37.4,2014-09-28,Mac
1535,acs-pch440,10,9,11,9,1.9,1,116,19.0,2014-09-28,Mac
1526,acs-manb114,1,1,3,1,2.9,3,58,2.9,2014-09-28,Mac
1517,acs-cpmc204,1,1,3,2,0.1,3,1,0.1,2014-09-28,Mac
5028,acs-may3543,1,1,10,2,0.6,10,3,0.6,2014-10-05,Windows
5029,acs-may3544,7,7,20,13,5.4,2,162,37.8,2014-10-05,Windows
1463,acs-vilb3w,2,2,214,153,11.9,107,6,23.8,2014-10-05,Mac
5000,acs-courtrm,7,7,39,3,3.7,5,44,25.9,2014-10-05,Windows
4999,acs-ccc,3,2,82,49,2.2,27,4,6.6,2014-10-05,Windows
4998,acs-bh1449,1,1,1,1,0.1,1,4,0.1,2014-10-05,Windows
4997,acs-b349,28,23,445,234,10.4,15,41,291.2,2014-10-05,Windows
4996,acs-apm3432,43,18,370,188,2.3,8,17,98.9,2014-10-05,Windows
4995,acs-apm3402,29,26,76,33,0.9,2,25,26.1,2014-10-05,Windows
4994,acms-ga,98,78,3477,1155,21.0,35,36,2058.0,2014-10-05,Windows
4993,ALL-XP,1023,450,21353,7583,9.8,20,29,10025.4,2014-10-05,Windows
4992,ALL-VLAB,98,78,3477,1155,21.0,35,36,2058.0,2014-10-05,Windows
5030,acs-may3574,7,5,15,7,4.3,2,129,30.1,2014-10-05,Windows
5001,acs-csb115,30,27,251,179,3.5,8,26,105.0,2014-10-05,Windows
5031,acs-moms,3,3,177,123,3.9,59,3,11.7,2014-10-05,Windows
5033,acs-nsb1111,1,1,8,8,0.9,8,7,0.9,2014-10-05,Windows
5034,acs-nsb1303a,1,1,8,2,0.0,8,0,0.0,2014-10-05,Windows
5035,acs-nsb1313a,4,4,19,5,17.5,4,262,70.0,2014-10-05,Windows
5036,acs-nsb2303,32,8,90,56,1.5,2,45,48.0,2014-10-05,Windows
5037,acs-nsb2311,1,1,2,2,20.0,2,600,20.0,2014-10-05,Windows
5038,acs-osb10,1,1,8,5,5.4,8,40,5.4,2014-10-05,Windows
5039,acs-pch104,7,4,176,71,1.8,25,4,12.6,2014-10-05,Windows
1464,acs-york1310,10,9,15,9,2.7,1,161,27.0,2014-10-05,Mac
5041,acs-rh228,1,1,2,1,2.1,2,63,2.1,2014-10-05,Windows
5042,acs-rimac,3,3,120,86,9.1,40,13,27.3,2014-10-05,Windows
5032,acs-nsb1103a,1,1,1,1,10.0,1,600,10.0,2014-10-05,Windows
5002,acs-cseb220,28,12,145,72,2.6,5,31,72.8,2014-10-05,Windows
5003,acs-cseb250,1,1,1,1,0.1,1,4,0.1,2014-10-05,Windows
5004,acs-cseb260,1,1,5,4,0.3,5,3,0.3,2014-10-05,Windows
5027,acs-may2722,1,1,1,1,2.1,1,125,2.1,2014-10-05,Windows
5026,acs-may2544,15,14,200,181,12.6,13,58,189.0,2014-10-05,Windows
5025,acs-irps,10,10,279,116,5.6,27,12,56.0,2014-10-05,Windows
5024,acs-hss6033,2,2,41,20,4.5,20,13,9.0,2014-10-05,Windows
5023,acs-glbw,51,46,1766,718,17.9,34,31,912.9,2014-10-05,Windows
5022,acs-gl2w,55,49,2918,1568,20.6,53,23,1133.0,2014-10-05,Windows
5021,acs-gl1t,39,34,1102,582,14.0,28,29,546.0,2014-10-05,Windows
5020,acs-gl1al,24,22,627,365,14.0,26,32,336.0,2014-10-05,Windows
5019,acs-erc117,30,25,511,350,6.4,17,22,192.0,2014-10-05,Windows
5018,acs-econ304,18,11,134,44,7.4,7,63,133.2,2014-10-05,Windows
5017,acs-econ100,19,9,143,91,4.0,7,34,76.0,2014-10-05,Windows
5016,acs-ebu3a161,25,20,242,104,6.4,9,42,160.0,2014-10-05,Windows
5015,acs-ebu3a108,8,8,26,14,2.2,3,44,17.6,2014-10-05,Windows
5014,acs-ebu2-b035,1,1,1,1,10.0,1,600,10.0,2014-10-05,Windows
5013,acs-ebu2-335,13,13,78,68,10.1,6,100,131.3,2014-10-05,Windows
5012,acs-ebu2-333,1,1,4,2,1.3,4,19,1.3,2014-10-05,Windows
5011,acs-ebu2-330,16,16,94,90,11.3,5,135,180.8,2014-10-05,Windows
5010,acs-ebu2-315,6,4,44,14,0.8,7,6,4.8,2014-10-05,Windows
5009,acs-ebu2-311,1,1,5,2,0.0,5,0,0.0,2014-10-05,Windows
5008,acs-ebu2-239,32,27,447,231,10.0,13,46,320.0,2014-10-05,Windows
5007,acs-ebu2-205,26,24,264,154,7.1,10,42,184.6,2014-10-05,Windows
5006,acs-ebu2-203,29,21,378,195,6.8,13,31,197.2,2014-10-05,Windows
5005,acs-ebu2-127,2,2,7,5,3.5,3,69,7.0,2014-10-05,Windows
5043,acs-seq142,26,22,155,94,2.8,5,33,72.8,2014-10-05,Windows
5044,acs-sme143,49,49,1121,340,15.0,22,40,735.0,2014-10-05,Windows
5040,acs-rcl,1,1,159,118,8.7,159,3,8.7,2014-10-05,Windows
